year,P,GNP,FE,PEDEq,PEFF,TFC,NFC
2005,6.530547852,63.1486668,341.0729063,459.0075938,394.2178048,29.39336252,29.39336252
2010,6.921797852,75.30807109,368.1208125,506.2318125,430.6025078,32.11027423,32.11027423
2020,7.671501953,111.7624234,423.0309063,594.2603125,501.1645937999999,38.26556497,38.26556497
2030,8.327682617,159.2941969,479.4225938,676.616375,564.9355001,43.19351929,43.19351929
2040,8.857175781,207.3462531,541.945875,755.579875,615.1277031999999,46.735443079999996,46.735443079999996
2050,9.242542969,257.6347469,601.9726875,832.276375,673.2247969,50.94429831,50.94429831
2060,9.459967773,311.5756531,664.5398125,910.1176875,748.5235001000001,56.18629114,56.18629114
2070,9.531094727,372.79275,719.051375,976.8643125,794.3060001,60.14040033,60.14040033
2080,9.480227539,439.6574531,765.494875,1037.774,827.9575938,63.52885324,63.52885324
2090,9.325707031,512.6173938000001,800.994375,1095.373,865.8439844000001,67.95250363000001,67.95250363000001
2100,9.103234375,592.0704625000001,831.8021875,1151.866,906.7200000999999,73.01928616000001,73.01928616000001
