year,P,GNP,FE,PEDEq,PEFF,TFC,NFC
2005,6.530547852,63.59300378,341.383,459.7700938,394.4510078,28.129913028000004,28.129913028000004
2010,6.921797852,75.83796607,367.9628125,506.68,432.6040938,30.597841477,30.597841477
2015,7.266518066,90.34305114,388.53,544.187,458.2378984,32.715580763,32.715580763
2020,7.57610498,111.9674773,365.5004063,512.7355,410.046,29.145958708939997,29.128967338
2025,7.843565918,134.95795470000002,327.7560938,457.9613125,348.8651015,24.249493209,24.00224988938776
2030,8.061937988,157.92573199999998,300.0613125,403.0055,296.43971095,19.6281002367,18.84759584200478
2035,8.246016602,180.3326467,281.6663125,363.1161875,246.07458985,14.888284227199998,13.442777578297699
2040,8.388762694999999,203.0587117,271.3131875,330.416,190.28193746,10.889867273,9.1376938647508
2045,8.484508789,225.86873989999998,274.6728125,337.7739063,171.42613867,9.2154422914,7.104580509292001
2050,8.5305,248.1266635,280.3495,351.2715938,156.03999996,8.0308636183,5.619755756118
2060,8.492175781,293.6179106,300.2548125,383.6475,158.9576113,8.2723242955,4.353066321127001
2070,8.298950195,341.65315169999997,318.6104063,437.4643125,179.69699024,9.2337562798,3.6279845322280004
2080,7.967387207,388.8738925,334.6685,470.0624063,172.28210739000002,8.3949220566,3.051865881252
2090,7.510454102,433.1755306,342.7573125,479.1135938,155.81519821,7.692658816699999,2.846134182947
2100,6.95798877,472.34587469999997,346.1563125,493.0518125,154.83950784,8.3301553856,3.013135920567
