framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,4,1,0,0.6579679995775223
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,8,1,0,0.6474039927124977
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,16,1,0,0.6502599939703941
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,32,1,0,0.6508039981126785
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,64,1,0,0.6507599875330925
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,128,1,0,0.6495960056781769
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,256,1,0,0.6469919979572296
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,512,1,0,0.7067440003156662
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,1024,1,0,0.8115079998970032
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,2048,1,0,1.2531799972057343
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,4096,1,0,2.5007160007953644
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,8192,1,0,6.667247951030731
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,1,16384,1,0,19.972471952438354
SGLang,0.5.6.post2,NVIDIA H100 80GB HBM3,mla_context,flashinfer,fp8_block,fp8,128,2,4,1,0,0.6561799943447113
