# %ECSV 0.9
# ---
# datatype:
# - {name: 'Det #', datatype: int32}
# - {name: 'Adc #', datatype: int32}
# schema: astropy-2.0
"Det #" "Adc #"
1 0
2 0
3 7
4 7
5 2
6 1
7 1
8 6
9 6
10 5
11 2
12 3
13 3
14 4
15 4
16 5
17 13
18 12
19 12
20 11
21 11
22 10
23 13
24 14
25 14
26 9
27 9
28 10
29 15
30 15
31 8
32 8
