#;F0;F1;F2;DIST;PSR;AGE;BSURF;
;(Hz);(s^-2);(s^-3);(kpc);TYPE;(Yr);(G);
1;8.668248;-4.484e-13;*;6.357;HE[wcp+18];3.06e+05;8.40e+11;
2;1.441446;-4.357e-15;*;0.860;*;5.24e+06;1.22e+12;
3;3.165827;-3.612e-12;4.100e-23;1.400;NRAD;1.39e+04;1.08e+13;
4;0.391716;*;*;5.399;*;*;*;
5;0.805997;-3.667e-16;7.300e-28;1.776;*;3.48e+07;8.47e+11;
6;0.432128;-1.940e-16;*;25.000;*;3.53e+07;1.57e+12;
7;327.847021;-1.228e-15;*;1.818;HE;4.23e+09;1.89e+08;
8;543.478261;*;*;2.688;*;*;*;
9;269.931798;-7.155e-16;-8.000e-27;2.540;*;5.98e+09;1.93e+08;
10;364.963504;*;*;4.690;*;*;*;
11;267.379679;*;*;4.690;*;*;*;
12;173.708219;1.504e-15;1.300e-27;4.690;*;*;*;
13;186.651670;1.192e-16;-1.200e-27;4.690;*;*;*;
14;282.779107;-7.877e-15;2.900e-27;4.690;*;5.69e+08;5.97e+08;
15;381.158664;-9.371e-15;6.800e-27;4.690;*;6.44e+08;4.16e+08;
16;247.501525;2.583e-15;6.000e-27;4.690;*;*;*;
17;311.493418;1.775e-16;1.600e-25;4.690;*;*;*;
18;286.944700;3.777e-15;-3.350e-26;4.690;*;*;*;
19;476.046858;2.219e-15;2.000e-26;4.690;*;*;*;
20;230.087746;6.461e-15;-1.300e-27;4.690;*;*;*;
21;271.987229;2.842e-15;7.000e-27;4.690;*;*;*;
22;327.444319;2.343e-15;-9.000e-27;4.690;*;*;*;
23;378.308788;-4.344e-15;4.380e-26;4.690;*;1.38e+09;2.87e+08;
24;274.497480;-5.000e-14;*;4.690;*;8.70e+07;1.57e+09;
25;247.943237;-2.091e-15;7.000e-28;4.690;*;1.88e+09;3.75e+08;
26;287.318119;-1.225e-14;-8.500e-27;4.690;*;3.72e+08;7.27e+08;
27;353.306209;1.505e-14;-7.800e-27;4.690;*;*;*;
28;131.778699;-5.102e-15;-3.000e-27;4.690;*;4.09e+08;1.51e+09;
29;230.264772;-5.049e-15;1.880e-26;4.690;*;7.23e+08;6.51e+08;
30;207.892963;*;*;4.690;*;*;*;
31;425.107796;1.564e-14;*;4.690;*;*;*;
32;209.576695;-8.065e-16;*;4.690;*;4.12e+09;3.00e+08;
33;455.237178;7.289e-15;-2.110e-26;4.690;*;*;*;
34;219.565606;2.190e-16;8.000e-27;4.690;*;*;*;
35;0.765697;*;*;25.000;*;*;*;
36;3.141120;-1.486e-15;*;6.619;*;3.35e+07;2.22e+11;
37;205.530699;-4.297e-16;*;0.324;HE[btlb00,aaa+09e];7.58e+09;2.25e+08;
38;3.174603;*;*;2.251;*;*;*;
39;1.096491;*;*;1.654;*;*;*;
40;532.713430;-1.409e-15;*;1.348;HE[aaa+10b];5.99e+09;9.77e+07;
41;1.060500;-4.591e-16;*;1.030;*;3.66e+07;6.28e+11;
42;27.170871;*;*;2.283;*;*;*;
43;3.892164;-1.151e-17;*;0.604;*;5.36e+09;1.41e+10;
44;1.863238;*;*;25.000;*;*;*;
45;0.894274;-2.302e-15;-1.200e-28;2.420;*;6.15e+06;1.82e+12;
46;1.066747;*;*;58.938;*;*;*;
47;1.581438;-6.227e-15;*;59.700;*;4.02e+06;1.27e+12;
48;1.079592;-5.202e-15;8.200e-25;59.700;*;3.29e+06;2.06e+12;
49;0.821629;-1.589e-15;-1.000e-27;4.500;*;8.19e+06;1.71e+12;
50;0.731764;*;*;25.000;*;*;*;
51;2.819031;-5.563e-17;*;1.250;*;8.03e+08;5.04e+10;
52;5.223451;*;*;60.261;*;*;*;
53;0.719424;*;*;0.901;RRAT;*;*;
54;*;*;*;2.347;RRAT[kkl+15];*;*;
55;1.200608;-1.037e-15;*;2.758;*;1.83e+07;7.83e+11;
56;0.472775;-2.132e-15;7.800e-28;2.857;*;3.51e+06;4.55e+12;
57;2.118480;-1.494e-14;-2.700e-26;1.123;*;2.25e+06;1.27e+12;
58;1.354899;-1.836e-16;*;3.476;*;1.17e+08;2.75e+11;
59;1.003992;-8.100e-16;*;2.646;*;1.96e+07;9.05e+11;
60;1.569859;*;*;2.597;*;*;*;
61;45.942987;-6.100e-11;*;59.700;NRAD[met+21];1.19e+04;8.03e+11;
62;0.872676;*;*;2.048;*;*;*;
63;0.124682;-2.923e-13;*;59.700;AXP,NRAD;6.76e+03;3.93e+14;
64;0.669523;-1.588e-16;*;2.848;*;6.68e+07;7.36e+11;
65;388.628426;-7.793e-16;*;1.002;HE;7.90e+09;1.17e+08;
66;337.837838;*;*;2.310;HE;*;*;
67;0.595534;-2.112e-15;-2.870e-26;2.500;*;4.47e+06;3.20e+12;
68;2.822435;*;*;2.010;RRAT[kkl+15];*;*;
69;0.721501;*;*;1.711;*;*;*;
70;12.025402;-6.188e-14;*;3.063;HE;3.08e+06;1.91e+11;
