id,name,vars,nb stations,data
[ABOM](http://reg.bom.gov.au/climate/reg/oneminsolar/),One Minute Solar Data of the Australian Bureau of Meteorology,"GHI, DHI, BNI",21,[TDS](http://tds.webservice-energy.org/thredds/catalog/bom-stations/catalog.html)🔒
[BSRN](https://bsrn.awi.de/),Baseline Surface Radiation Network,"GHI, DHI, BNI, T2, RH, P",78,[TDS](http://tds.webservice-energy.org/thredds/catalog/bsrn-stations/catalog.html)🔒
[enerMENA](https://www.dlr.de/sf/en/desktopdefault.aspx/tabid-8680/12865_read-32404/),The enerMENA Meteorological Network - Solar Radiation Measurements in the MENA Region,"GHI, DHI, BNI, T2, RH, WS, WD, P",12,[TDS](http://tds.webservice-energy.org/thredds/catalog/enermena-stations/catalog.html)🔒
[ESMAP](https://energydata.info/dataset?q=solar+radiation+Measurements),Energy Sector Management Assistance Program (ESMAP),"GHI, DHI, BNI, T2, RH, WS, WD, P",16,
[ISE_PVLive](https://www.ise.fraunhofer.de/en/press-media/press-releases/2021/project-pv-live-new-solar-irradiance-data-set-published.html),PV-Live dataset - Measurements of global horizontal and tilted solar irradiance,GHI,40,[TDS](http://tds.webservice-energy.org/thredds/catalog/iea-pvps/catalog.html)🔒
[NREL_MIDC](https://midcdmz.nrel.gov/),Measurement and Instrumentation Data Center (MIDC),"GHI, DHI, BNI, T2, RH, WS",33,[TDS](http://tds.webservice-energy.org/thredds/catalog/nrelmidc-stations/catalog.html)
[SAURAN](https://sauran.ac.za/),Southern African Universities Radiometric Network,"GHI, DHI, BNI",21,[TDS](http://tds.webservice-energy.org/thredds/catalog/sauran-stations/catalog.html)🔒
[SKYNET](https://www.skynet-isdc.org/data.php),International SKYNET Data Center,"GHI, BNI",7,
[SOLRAD](https://gml.noaa.gov/grad/solrad/index.html),NOAA's SOLar RADiation Measurement Network,"GHI, DHI, BNI, T2, RH, WS, WD, P",9,[TDS](http://tds.webservice-energy.org/thredds/catalog/solrad-stations/catalog.html)
[SURFRAD](https://gml.noaa.gov/grad/surfrad/sitepage.html),NOAA's Surface Radiation Budget Network (SURFRAD),"GHI, DHI, BNI, T2, RH, WS, WD, P",7,[TDS](http://tds.webservice-energy.org/thredds/catalog/surfrad-stations/catalog.html)
[IEA_PVPS](http://dx.doi.org/10.23646/3491b1a6-e32d-4b34-9dbb-ee0affe49e36),Validation dataset of the task 16 of IEA PVPS,"GHI, DIF, DNI, GHIcalc, Elev, Azim, Kc",161,[TDS](http://tds.webservice-energy.org/thredds/catalog/iea-pvps/catalog.html)
