building_category,building_code,heating_systems,year,heating_system_share
house,PRE_TEK49,DH,2023,0.021331511356583316
house,PRE_TEK49,DH - Bio,2023,0.007658006683126973
house,PRE_TEK49,Electric boiler,2023,0.02567759309318968
house,PRE_TEK49,Electric boiler - Solar,2023,0.0003008594060781024
house,PRE_TEK49,Electricity,2023,0.0521984906804366
house,PRE_TEK49,Electricity - Bio,2023,0.22473263766823653
house,PRE_TEK49,HP - Bio - Electricity,2023,0.5649908788840201
house,PRE_TEK49,HP - Electricity,2023,0.09929473189808152
house,PRE_TEK49,HP Central heating - Electric boiler,2023,0.0038152903302471042
house,TEK07,DH,2023,0.021331511356583316
house,TEK07,DH - Bio,2023,0.007658006683126973
house,TEK07,Electric boiler,2023,0.02567759309318968
house,TEK07,Electric boiler - Solar,2023,0.0003008594060781024
house,TEK07,Electricity,2023,0.0521984906804366
house,TEK07,Electricity - Bio,2023,0.22473263766823653
house,TEK07,HP - Bio - Electricity,2023,0.5649908788840201
house,TEK07,HP - Electricity,2023,0.09929473189808152
house,TEK07,HP Central heating - Electric boiler,2023,0.0038152903302471042
house,TEK10,DH,2023,0.021331511356583316
house,TEK10,DH - Bio,2023,0.007658006683126973
house,TEK10,Electric boiler,2023,0.02567759309318968
house,TEK10,Electric boiler - Solar,2023,0.0003008594060781024
house,TEK10,Electricity,2023,0.0521984906804366
house,TEK10,Electricity - Bio,2023,0.22473263766823653
house,TEK10,HP - Bio - Electricity,2023,0.5649908788840201
house,TEK10,HP - Electricity,2023,0.09929473189808152
house,TEK10,HP Central heating - Electric boiler,2023,0.0038152903302471042
house,TEK17,DH,2023,0.021331511356583316
house,TEK17,DH - Bio,2023,0.007658006683126973
house,TEK17,Electric boiler,2023,0.02567759309318968
house,TEK17,Electric boiler - Solar,2023,0.0003008594060781024
house,TEK17,Electricity,2023,0.0521984906804366
house,TEK17,Electricity - Bio,2023,0.22473263766823653
house,TEK17,HP - Bio - Electricity,2023,0.5649908788840201
house,TEK17,HP - Electricity,2023,0.09929473189808152
house,TEK49,DH,2023,0.021331511356583316
house,TEK49,DH - Bio,2023,0.007658006683126973
house,TEK49,Electric boiler,2023,0.02567759309318968
house,TEK49,Electric boiler - Solar,2023,0.0003008594060781024
house,TEK49,Electricity,2023,0.0521984906804366
house,TEK49,Electricity - Bio,2023,0.22473263766823653
house,TEK49,HP - Bio - Electricity,2023,0.5649908788840201
house,TEK49,HP - Electricity,2023,0.09929473189808152
house,TEK49,HP Central heating - Electric boiler,2023,0.0038152903302471042
house,TEK69,DH,2023,0.021331511356583316
house,TEK69,DH - Bio,2023,0.007658006683126973
house,TEK69,Electric boiler,2023,0.02567759309318968
house,TEK69,Electric boiler - Solar,2023,0.0003008594060781024
house,TEK69,Electricity,2023,0.0521984906804366
house,TEK69,Electricity - Bio,2023,0.22473263766823653
house,TEK69,HP - Bio - Electricity,2023,0.5649908788840201
house,TEK69,HP - Electricity,2023,0.09929473189808152
house,TEK69,HP Central heating - Electric boiler,2023,0.0038152903302471042
house,TEK87,DH,2023,0.021331511356583316
house,TEK87,DH - Bio,2023,0.007658006683126973
