subject	count
Earth and Environmental Sciences	184
Medicine, Health and Life Sciences	119
Social Sciences	92
Agricultural Sciences	26
Other	13
Chemistry	10
Engineering	9
Computer and Information Science	6
Arts and Humanities	5
Law	4
Business and Management	3
Mathematical Sciences	2
Astronomy and Astrophysics	1
Physics	1
