,place,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
place,0.0,6.0,22.5,11.0,3.0,8.5,17.0,0.5,24.5,12.0,3.0,16.5,25.0,32.0,36.0,39.0,22.5
speed,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,2.5,0.0,1.0,1.0,1.0,1.5,1.5,1.5
bodydirection,22.5,0.0,0.0,0.0,0.5,6.5,4.0,0.0,5.5,3.5,0.5,8.0,8.5,3.5,8.0,7.0,6.0
headdirection,11.0,1.0,6.0,0.0,1.0,1.5,2.5,0.0,2.5,2.0,1.0,3.0,2.0,4.0,1.5,4.0,2.5
rest,3.0,10.0,0.5,1.0,0.0,4.0,5.0,0.0,3.0,3.0,1.0,3.5,0.0,0.5,0.5,2.5,2.5
walk,8.5,7.0,6.5,1.5,3.0,0.0,18.0,0.5,8.5,6.0,0.0,13.5,3.0,5.0,8.0,6.0,9.5
locomotion,17.0,29.0,4.0,4.5,5.0,19.0,0.0,0.0,12.5,6.0,1.5,8.5,3.5,4.0,4.5,9.0,6.5
freezing,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rear,6.5,8.5,5.5,2.5,3.0,8.5,15.5,0.0,0.0,3.0,1.0,3.0,4.0,2.5,4.0,7.5,7.0
corners,0.0,2.5,3.5,2.0,3.0,6.0,6.0,0.0,13.0,0.0,1.0,14.0,2.0,5.0,2.5,6.0,8.5
walls,0.0,0.0,0.5,1.0,1.0,5.0,1.5,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0
center,9.5,1.0,8.0,3.0,3.5,13.5,8.5,0.0,17.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
object1,0.0,1.0,8.5,2.0,0.0,3.0,3.5,0.0,4.0,2.0,0.0,10.0,0.0,1.0,5.5,3.0,15.0
object2,0.0,1.0,3.5,4.0,0.5,5.0,4.0,0.0,2.5,5.0,2.0,22.0,1.0,0.0,5.0,7.0,33.0
object3,0.0,1.5,8.0,1.5,0.5,8.0,4.5,0.0,4.0,2.5,1.0,15.0,5.5,5.0,0.0,7.0,23.0
object4,0.0,2.5,7.0,4.0,2.5,6.0,9.0,0.0,7.5,6.0,1.0,18.0,3.0,7.0,7.0,0.0,24.0
objects,3.5,2.5,6.0,2.5,2.5,11.5,6.5,0.0,7.0,8.5,2.0,42.0,0.0,0.0,0.0,0.0,0.0
