ages m22 m32 m42 m52 m62 m72
1.0 -24.5297 -24.6147 -25.0179 -25.1473 -25.3948 -25.702
100000.0 -24.5297 -24.6147 -25.0179 -25.1473 -25.3948 -25.702
141250.0 -24.5297 -24.6147 -25.0179 -25.1473 -25.3948 -25.7606
158490.0 -24.5297 -24.6147 -25.0179 -25.1473 -25.3948 -25.745
177830.0 -24.5297 -24.6147 -25.0179 -25.1473 -25.3948 -25.7291
199530.0 -24.5297 -24.6147 -25.0179 -25.1473 -25.3948 -25.7124
223870.0 -24.5297 -24.6147 -25.0179 -25.1473 -25.3948 -25.7648
251190.0 -24.5306 -24.6147 -25.0179 -25.1473 -25.3948 -25.749
281840.0 -24.5337 -24.6147 -25.0179 -25.1473 -25.3948 -25.7343
316230.0 -24.5378 -24.6147 -25.0179 -25.1473 -25.3948 -25.7771
354820.0 -24.5423 -24.6147 -25.0179 -25.1473 -25.3948 -25.7655
398110.0 -24.5361 -24.6147 -25.0179 -25.1473 -25.3948 -25.8075
446690.0 -24.5352 -24.6147 -25.0179 -25.1473 -25.3948 -25.8312
501190.0 -24.5393 -24.6147 -25.0179 -25.1473 -25.3948 -25.8912
562340.0 -24.5441 -24.6147 -25.0179 -25.1473 -25.3948 -25.9385
630960.0 -24.5493 -24.6147 -25.0179 -25.1473 -25.3948 -25.9131
707950.0 -24.5776 -24.6147 -25.0179 -25.1473 -25.3948 -25.9599
794330.0 -24.5708 -24.6147 -25.0179 -25.1473 -25.3948 -25.9018
891260.0 -24.5384 -24.6147 -25.0179 -25.1473 -25.3948 -25.9745
1000000.0 -24.5877 -24.6147 -25.0179 -25.1473 -25.4006 -25.9392
1047100.0 -24.6135 -24.6147 -25.0179 -25.1473 -25.4072 -26.0127
1096500.0 -24.6156 -24.6147 -25.0179 -25.1473 -25.4137 -25.9842
1148200.0 -24.6144 -24.6147 -25.0179 -25.1473 -25.4238 -25.9525
1202300.0 -24.6091 -24.6147 -25.0179 -25.1473 -25.4349 -26.0479
1258900.0 -24.599 -24.6147 -25.0179 -25.1473 -25.4479 -26.0318
1318300.0 -24.6456 -24.6147 -25.0179 -25.1473 -25.4499 -26.0118
1380400.0 -24.6627 -24.6147 -25.0179 -25.1473 -25.4672 -26.1211
1445400.0 -24.6669 -24.6147 -25.0179 -25.1473 -25.4841 -26.0841
1513600.0 -24.6689 -24.6138 -25.0179 -25.1473 -25.5006 -26.1774
1584900.0 -24.6737 -24.5722 -25.0179 -25.1473 -25.5169 -26.1248
1659600.0 -24.7061 -24.5293 -25.0179 -25.1473 -25.504 -26.2055
1737800.0 -24.7123 -24.4854 -25.0179 -25.1784 -25.5776 -26.2776
1819700.0 -24.7181 -24.441 -25.0179 -25.2586 -25.562 -26.2371
1905500.0 -24.7311 -24.6019 -25.0179 -25.3319 -25.5444 -26.3128
1995300.0 -24.7526 -24.513 -25.0179 -25.4074 -25.5245 -26.3544
2089300.0 -24.761 -24.7588 -25.0179 -25.4924 -25.6406 -26.3953
2187800.0 -24.7644 -24.6095 -25.0179 -25.519 -25.6135 -26.4243
2290900.0 -24.7695 -24.6635 -25.0179 -25.578 -25.6989 -26.4415
2398800.0 -24.7634 -24.4917 -25.0179 -25.6306 -25.7297 -26.435
2511900.0 -24.7817 -24.4374 -25.3922 -25.6904 -25.945 -26.5491
2630300.0 -24.8138 -24.6164 -25.5551 -25.7266 -25.8509 -26.3765
2754200.0 -24.848 -25.1112 -25.9557 -25.8174 -26.0083 -26.3612
2884000.0 -24.9525 -25.5976 -26.3649 -25.892 -25.6851 -26.456
3020000.0 -26.2454 -26.1896 -26.7443 -25.9772 -26.3173 -26.6098
3162300.0 -28.2705 -26.8952 -27.2233 -26.1807 -26.3759 -26.7684
3311300.0 -28.447 -27.0909 -27.3449 -26.243 -26.4327 -26.8468
3467400.0 -28.5134 -27.2302 -27.3496 -26.287 -26.5074 -26.831
3630800.0 -28.5758 -27.3296 -27.1774 -26.2965 -26.5855 -26.735
3801900.0 -28.6335 -27.3344 -26.9643 -26.3088 -26.6853 -26.7045
3981100.0 -28.6071 -27.2429 -27.2909 -26.22 -26.7359 -26.7957
4168700.0 -28.4095 -27.188 -27.4256 -26.2314 -26.7302 -26.9581
4365200.0 -28.2786 -26.8751 -27.3175 -26.2502 -26.6585 -27.1789
4570900.0 -28.1122 -26.6604 -26.9888 -26.2859 -26.5881 -27.3966
4786300.0 -27.8485 -26.4065 -26.6232 -26.3553 -26.665 -27.5797
5011900.0 -27.3811 -26.1125 -26.3925 -26.3862 -26.7601 -27.7359
5248100.0 -26.3737 -25.7881 -26.2245 -26.5767 -26.8886 -27.8693
5495400.0 -25.0849 -25.4527 -26.3761 -26.816 -27.0638 -27.9827
5754400.0 -24.9836 -25.4113 -26.5633 -27.0711 -27.18 -28.0776
6025600.0 -24.9313 -25.3559 -26.7156 -27.3299 -27.1031 -28.1542
6309600.0 -24.8698 -25.2819 -26.8392 -27.4882 -27.0828 -28.2128
6606900.0 -24.7931 -25.177 -26.9148 -27.5008 -27.1076 -28.1483
6918300.0 -24.7035 -25.0112 -26.8367 -27.4092 -27.1414 -27.8699
7244400.0 -24.651 -25.0075 -26.8644 -27.3495 -27.1846 -27.7381
7585800.0 -24.6361 -25.0 -26.8872 -27.2816 -27.2377 -27.7137
7943300.0 -24.6152 -24.9876 -26.9052 -27.2043 -27.3012 -27.6849
8317600.0 -24.5871 -24.9705 -26.9172 -27.1162 -27.3755 -27.6515
8709600.0 -24.55 -24.9464 -26.9224 -27.0154 -27.4011 -27.6126
9120100.0 -24.502 -24.9153 -26.9197 -26.8987 -27.2572 -27.5675
9549900.0 -24.4429 -24.8762 -26.9083 -26.6897 -27.1961 -27.4484
10000000.0 -24.3662 -24.823 -26.8134 -26.5288 -27.1581 -27.3032
10471000.0 -24.2871 -24.84 -26.652 -26.4175 -27.1159 -27.284
10965000.0 -24.2502 -24.9263 -26.5693 -26.3892 -27.0689 -27.2585
11482000.0 -24.248 -25.0378 -26.4865 -26.3577 -27.0165 -27.2253
12023000.0 -24.2458 -25.1274 -26.3963 -26.3223 -26.9582 -27.1832
12589000.0 -24.2441 -25.1966 -26.2984 -26.2828 -26.8747 -27.1304
