ages m22 m32 m42 m52 m62 m72
1.0 -26.255 -26.3283 -26.6337 -26.7771 -26.9929 -27.3224
100000.0 -26.255 -26.3283 -26.6337 -26.7771 -26.9929 -27.3224
141250.0 -26.255 -26.3283 -26.6337 -26.7771 -26.9929 -27.3871
158490.0 -26.255 -26.3283 -26.6337 -26.7771 -26.9929 -27.3694
177830.0 -26.255 -26.3283 -26.6337 -26.7771 -26.9929 -27.3514
199530.0 -26.255 -26.3283 -26.6337 -26.7771 -26.9929 -27.3318
223870.0 -26.255 -26.3283 -26.6337 -26.7771 -26.9929 -27.3891
251190.0 -26.2556 -26.3283 -26.6337 -26.7771 -26.9929 -27.3704
281840.0 -26.2587 -26.3283 -26.6337 -26.7771 -26.9929 -27.353
316230.0 -26.2628 -26.3283 -26.6337 -26.7771 -26.9929 -27.3999
354820.0 -26.2673 -26.3283 -26.6337 -26.7771 -26.9929 -27.3859
398110.0 -26.2601 -26.3283 -26.6337 -26.7771 -26.9929 -27.4295
446690.0 -26.2588 -26.3283 -26.6337 -26.7771 -26.9929 -27.4551
501190.0 -26.2622 -26.3283 -26.6337 -26.7771 -26.9929 -27.5209
562340.0 -26.2663 -26.3283 -26.6337 -26.7771 -26.9929 -27.5716
630960.0 -26.2705 -26.3283 -26.6337 -26.7771 -26.9929 -27.5419
707950.0 -26.274 -26.3283 -26.6337 -26.7771 -26.9929 -27.5884
794330.0 -26.2812 -26.3283 -26.6337 -26.7771 -26.9929 -27.5239
891260.0 -26.2798 -26.3283 -26.6337 -26.7771 -26.9929 -27.602
1000000.0 -26.3081 -26.3283 -26.6337 -26.7771 -26.999 -27.5623
1047100.0 -26.3206 -26.3283 -26.6337 -26.7771 -27.0058 -27.6394
1096500.0 -26.3273 -26.3283 -26.6337 -26.7771 -27.0125 -27.6066
1148200.0 -26.3317 -26.3283 -26.6337 -26.7771 -27.0231 -27.5701
1202300.0 -26.3333 -26.3283 -26.6337 -26.7771 -27.0348 -27.6728
1258900.0 -26.3331 -26.3283 -26.6337 -26.7771 -27.0487 -27.6543
1318300.0 -26.3585 -26.3283 -26.6337 -26.7771 -27.0503 -27.6314
1380400.0 -26.3752 -26.3283 -26.6337 -26.7771 -27.0688 -27.7473
1445400.0 -26.3855 -26.3283 -26.6337 -26.7771 -27.0869 -27.7068
1513600.0 -26.3941 -26.3408 -26.6337 -26.7771 -27.1045 -27.8064
1584900.0 -26.4024 -26.3023 -26.6337 -26.7771 -27.1217 -27.7511
1659600.0 -26.425 -26.262 -26.6337 -26.7771 -27.1068 -27.8393
1737800.0 -26.4362 -26.2201 -26.6337 -26.8163 -27.1872 -27.9165
1819700.0 -26.4492 -26.1765 -26.6337 -26.9096 -27.1692 -27.8753
1905500.0 -26.4656 -26.345 -26.6337 -26.9898 -27.1491 -27.9547
1995300.0 -26.491 -26.263 -26.6337 -27.0661 -27.1263 -27.9958
2089300.0 -26.5106 -26.5622 -26.6337 -27.1544 -27.2501 -28.0383
2187800.0 -26.5324 -26.4305 -26.6337 -27.1812 -27.2183 -28.0675
2290900.0 -26.5633 -26.5467 -26.6337 -27.2397 -27.3076 -28.0816
2398800.0 -26.5956 -26.326 -26.6337 -27.29 -27.333 -28.0713
2511900.0 -26.642 -26.2501 -27.0641 -27.347 -27.5555 -28.1967
2630300.0 -26.6969 -26.4647 -27.122 -27.3762 -27.4531 -28.0092
2754200.0 -26.7622 -26.9679 -27.2942 -27.4646 -27.6126 -27.9596
2884000.0 -26.8801 -27.3462 -27.4896 -27.5332 -27.2774 -28.012
3020000.0 -27.5426 -27.7067 -27.7312 -27.6108 -27.9071 -28.1078
3162300.0 -28.3186 -28.0096 -28.0775 -27.7449 -27.9457 -28.2059
3311300.0 -28.4001 -28.067 -28.1744 -27.782 -27.967 -28.2502
3467400.0 -28.3858 -28.0627 -28.1998 -27.7871 -27.9825 -28.2281
3630800.0 -28.3477 -28.056 -28.079 -27.7443 -27.978 -28.1344
3801900.0 -28.2756 -27.9791 -28.0038 -27.6772 -28.0063 -28.0712
3981100.0 -28.1372 -27.7185 -28.1969 -27.6102 -28.0095 -28.0328
4168700.0 -27.9593 -27.5026 -28.2454 -27.5914 -27.981 -27.9898
4365200.0 -27.8754 -27.4216 -28.1304 -27.572 -27.9129 -27.9411
4570900.0 -27.7748 -27.3751 -27.9055 -27.554 -27.8309 -27.8847
4786300.0 -27.6218 -27.3125 -27.6916 -27.5615 -27.8276 -27.8191
5011900.0 -27.3827 -27.2318 -27.5351 -27.568 -27.8011 -27.7436
5248100.0 -27.0151 -27.1244 -27.4203 -27.5952 -27.7743 -27.6558
5495400.0 -26.7505 -26.9654 -27.4842 -27.6283 -27.7436 -27.5529
5754400.0 -26.6854 -26.9195 -27.5594 -27.6378 -27.7242 -27.4312
6025600.0 -26.6298 -26.8629 -27.6135 -27.6165 -27.6652 -27.2881
6309600.0 -26.5655 -26.7912 -27.6452 -27.5491 -27.5566 -27.12
6606900.0 -26.4889 -26.6959 -27.5925 -27.4588 -27.4882 -26.9796
6918300.0 -26.4005 -26.571 -27.4734 -27.4074 -27.4095 -26.9079
7244400.0 -26.3514 -26.5523 -27.4259 -27.3631 -27.3167 -26.8486
7585800.0 -26.324 -26.5298 -27.3717 -27.3119 -27.204 -26.7917
7943300.0 -26.2912 -26.5021 -27.3114 -27.2535 -27.0655 -26.7291
8317600.0 -26.2517 -26.4698 -27.2433 -27.1868 -26.8963 -26.6615
8709600.0 -26.2039 -26.4302 -27.1651 -27.1118 -26.7022 -26.5885
9120100.0 -26.1465 -26.3834 -27.0751 -27.0251 -26.6037 -26.5127
9549900.0 -26.0812 -26.3279 -26.9727 -26.9249 -26.605 -26.4491
10000000.0 -26.0015 -26.2591 -26.8479 -26.7637 -26.6029 -26.3996
10471000.0 -25.9158 -26.1901 -26.6991 -26.7241 -26.5926 -26.3546
10965000.0 -25.8702 -26.1857 -26.6608 -26.6895 -26.5751 -26.308
11482000.0 -25.8472 -26.2031 -26.6169 -26.6522 -26.5479 -26.2594
12023000.0 -25.823 -26.213 -26.5663 -26.611 -26.5116 -26.2085
