Factors,5hoxindoa_c,C10164_c,ade_e,xan_e,id3acald_m,arg__L_c,ptrc_e,spmd_e,creat_m,gua_e,hxan_e,asn__L_m,creat_e,cys__L_m,phe__L_m,ach_c,anth_e,sprm_e,sph1p_n,ncam_c,C11821_c,5oxpro_e,ala__L_e,asp__L_c,citr__L_c,glu__L_m,gln__L_c,his__L_c,ile__L_e,leu__L_e,met__L_c,pro__L_m,ser__L_c,thr__L_c,trp__L_c,tyr__L_c,val__L_e,dmgly_c,acorn_c,orn__D_x,gthox_c,gthrd_c,sphs1p_e,gudac_c,carn_c,lys__L_x,crn_r,glucys_e,adrnl_c,Lkynr_e
c,-1.4297039759536274,-0.9114580604606733,-0.5269378141742587,2.141525395501544,-0.09361079296320032,0.760059958712841,2.858451792865316,2.5341053211151174,2.841567727884543,2.585276745553141,2.814665145489355,-0.0946331890796527,-1.2707781084753744,-0.3621468699812265,-0.71523881125223,1.029862596205599,2.5695482195437354,-0.2559304111841565,-0.06682234991688489,-0.10191693808334613,-0.335552242488869,-0.5342211648948869,1.7582902428593954,-0.8216169511560389,-1.63067965284206,0.21647455823798548,-0.4760054791805906,-0.8277468442275168,-0.9316741313962323,-0.38902857923864165,-0.4634842477432188,-0.35161203000103775,1.2113864421630771,0.2797350398233671,0.18870235698899446,0.0053824848271120124,2.9321970112049516,0.22443701641565053,-0.9981482561707147,2.133623372371971,-0.06495236995874948,-0.8101396385601235,0.8902811071331785,-0.05825422436707561,1.961230750244553,2.0725717153455196,2.8135127755005396,-0.6134555917647747,2.454875914593735,-0.38946162337113016
c,1.5424008808070009,0.7010739166466913,-0.609512893236231,-0.46361823180408485,-0.6948649640694564,0.9221929815798336,0.0639788706124036,0.08278110193819149,-0.2582561710697268,-0.7090884436620348,0.1317382359669631,-0.23198508191917577,1.701252353106112,-1.262157094286531,0.12357925986253379,-0.4182595987401282,-0.4307917657931115,-0.05164817483170776,-0.828222732676874,0.9326837020414244,-0.4815084932307938,-0.6504384240303381,-1.392163862391632,-0.11390482055125695,0.9354177078440262,-1.147786273728112,-0.45392640124114814,-0.09398789418375023,0.15926298511328507,0.5946503333761842,-0.6671638844647697,0.10822613815918455,-0.9682252564183276,-0.9262503258296404,-0.5802349461506752,-0.929846905807845,-0.41235424345224825,-0.8299467779758777,1.0461769184082115,-0.9611431204446551,-1.0793491221464688,0.6045289017091224,-1.1603896272899745,-0.7523252805569288,-0.13722274030910717,-0.8250949586143804,-0.38268544102717594,-0.511135675581904,-0.45122217085378946,0.6532221213891485
c,-1.3626191832775398,0.8033706675759772,1.9705103890620823,0.45295150782413046,-0.16273804538120198,-0.9748261852665258,-0.6706922660048223,-1.2624333788912379,-0.46129837677354507,0.426256854775693,-0.33706882579640957,1.7714506773169956,-0.9300414611086066,-0.06028695252798535,-0.20476182707265855,0.6505184092729824,-0.6226287736388824,-0.35222231120229774,-0.7459518762991353,-0.15414061216461797,0.22449060177496075,0.14272736565985017,-0.5562252068004316,2.444406753348195,-0.5501997495134655,0.165212495478704,0.21016439960741476,-0.26244999568575683,2.4056625171073525,-0.21717111680211793,-0.4818121029661711,-0.05915025293079662,-0.1772081382742781,0.892812333119937,-0.1725476024176042,-0.41265720238079684,-0.48895214934640174,2.3711143919234936,0.5864003352456824,-0.10398776866829632,-0.22951565696109077,1.739201727912689,-0.6766564089637433,-1.109754376196403,-1.0718169165367892,0.6543892312931484,-0.7586430396901684,2.526205722502757,-0.8325306270740758,-0.605193763458109
c,0.7995613391994216,1.4673941153022616,-0.7448595073003598,1.5072534689817045,-0.49811019350138336,1.4376921387575883,-0.3068304629717881,0.27131762656970815,-0.20104471910841432,-0.7129107621588348,-0.23786160030857417,0.018992327143132606,-0.563000886838141,0.20000699601021563,-0.2824554828320961,0.14112480458197685,-0.396738150155728,-0.2724252742182075,0.9114584836741161,2.451674999469973,-0.39630014302008076,-0.40272928208196135,0.011427736106290064,-0.10540933500171452,-0.7659853908212954,-0.6401519034063016,-0.26850736806506903,-0.7012735964680494,-0.48595790016082446,-0.30891317270908725,-0.5732995271712579,-0.1825141487282902,-0.5489941141770424,-0.693197922103508,-0.3976048906557062,0.2768567119065206,-0.6183691688001479,0.983999929749559,2.17091248056841,0.1538236433519003,-0.7001127491604512,0.2820563823516493,-0.3516601317488514,-0.7077819216109416,-0.2534183666626059,0.10580778589133068,-0.08824664170279799,-0.4131583727151707,0.08869872235270698,2.209561980569099
c,-0.25285601335511515,-0.8030091827927917,1.1805813578174829,-0.6713600887609047,-0.5936234762761625,-0.841035965269139,-0.5004461093257947,-0.7182004547731817,-0.7051142773440382,0.14915090106606718,-0.7428298162059217,-1.8312486061493904,-0.8066161697349347,-0.35756936982454124,0.2189811314310485,1.3884210906612582,-0.5335613718147061,-0.279590845042199,0.2756982524255363,0.30439904556704167,2.6150764633448897,2.604243630352494,0.80973329290401,-0.32646157365241574,-0.2767817943314019,1.1110122270705598,2.504482258385953,2.5712431363571366,-1.3085243035616114,-0.3387967621701118,2.3946975892421594,-0.08400922008251624,2.1863703254952984,2.31112267335538,-1.0994704847173182,-0.4374439796358733,-0.1213046480422404,-0.48511892332732304,-1.196770355145368,-0.5641716556869936,0.7345652277260739,-0.0621798223847808,-0.6992956278185581,1.909085075462154,-0.6840600496128123,-0.8505898809716661,-0.7666270284444648,0.9742196674427189,-0.8784220915482011,-0.6674782931578648
healthy,-0.27006189196642527,-0.9684039633051682,-0.7479385013336062,-0.4380162423903922,-0.4401283173637494,-0.7908611695732874,-0.4439333877423111,0.06108468896230928,-0.7996908040670424,-0.8024131413423293,-0.5868724605327044,-0.5143586578415447,0.09627121111460785,1.8422383215727314,-0.7886010955997518,-1.2563007345437025,-0.3407979022939565,0.00936043506959749,-0.8578660620964804,-1.0913508475058482,-0.9337486192286131,-0.5117725426307546,-1.2864609121672193,-0.5621884081517926,-0.024778252719437076,1.6261603217137797,-1.0229736827199496,-1.0966722848540418,-0.1286350798938892,0.6122271503868051,-0.6511168125670389,-0.7978972846926597,-0.6166098499761437,-0.9401293158707319,-0.4204031866863606,-0.45612660840671615,-0.5155125100950749,0.007570845415808918,-0.6479104075314792,-0.8698774670529691,2.5505540466382524,-2.2434296933049933,-0.1005603229868801,1.6277103305670118,-0.7798606304388853,-1.0591600635739138,0.13173898663379327,-0.9724025367527497,1.242937845787457,-0.7551214346542995
healthy,1.3240152932004592,0.17757165363739782,-0.48668059949486475,-0.7499901408770266,1.3670037283188508,-0.4810481986164065,-0.5356384886048147,-0.4306316339561346,-0.5636554949549786,-0.4008979095829766,0.380800449090073,-0.21510466302434622,-0.13513696213114015,-0.6333672972216082,0.455738009281877,-1.4248352667842084,1.2036813497967096,-0.06971956034454635,-0.5667668684378121,-0.6929196079037799,-0.4844132218657414,-0.4768551414506982,0.4572008661404529,-0.8483738278190527,-0.31581869362600895,-0.6118083368912853,-0.3917187515946737,-0.34013880287472964,0.9533617230259065,2.1785669540777763,0.1685832627959076,1.6793832442039052,-0.15637264722134245,-0.3305111899804051,1.2559484805937755,1.3906724196892715,-0.39519609256649235,0.022076440036624748,-0.029538647766683197,0.6030541781136557,0.1790920273412545,-0.0060415245138460685,-1.0006802288232808,-0.20013098917902453,-0.6898330933792463,0.844540949050158,-0.5087697719478115,-0.3327439763121295,-0.5179222897183939,-0.6251595943089067
healthy,0.13499627821787677,-1.537198548291499,1.2324703277335856,-0.2464689168927219,-1.6685043003386033,-1.5460227826875494,-0.6243734769864588,-0.7383662476951193,-0.2199239721434556,-0.46508373078913207,-0.626263762523316,-0.024194603188249356,1.0700125906410798,-1.4078434769822739,-0.49709055735318347,-0.9785257936256041,-0.5034800630934926,-0.6568762203108639,-0.41246866722389497,-1.0408102916829642,-0.9076868848627286,-0.9806422248569169,-1.1088637885509145,-0.911961914816122,1.6593566061122142,-1.4544297163039006,-1.0316430935449536,-0.19843859716208376,-0.5735377367198624,-1.1446607706716467,-0.7355746721133003,-1.6106406283427865,-1.328551263836279,-1.079855818794043,-1.5206268930168183,-1.3025507653386783,-0.16097819746480435,-1.4244580343756743,-0.9943851969993521,-1.5366028211078693,-1.061135973170841,-0.38179193222083313,0.9916327737245746,-1.0768414123053356,0.415793779476615,-1.266647687942262,0.006987428182952421,0.34881040394829493,-0.40144615586404486,-0.39779326090999945
healthy,0.4833699853268521,-0.27977545133672177,-1.081383038898628,-0.3905067278581475,1.6735015760289633,0.28029175764538455,0.34825202001589745,0.6631395218750971,0.3165962280054134,0.6990195193678022,-0.1339300947386958,-0.5587279236377258,1.452139282805403,0.6711352164710396,2.688700306516963,-0.4177572319119578,-0.23088306308878667,2.8826409654041267,2.5587782203377705,-0.1402331023047785,-0.11616775623547035,-0.11866945720460402,0.4842501972120825,0.08607895147759916,-0.5583523943814854,-0.5154808977690511,-0.025801286557822878,0.0712839587843882,-0.28223229053592663,0.5834774024659101,1.382658926630906,1.858854367335475,-0.14227605323158343,-0.0462436144411475,1.8167740223174778,-0.3157341004681774,-0.3588346937858126,-0.3181239134510478,0.0978313380843502,0.44274473647444157,-0.2886442273220505,0.047788566445980764,2.188372754052162,-0.0771931456196489,-0.48246444855474485,-0.26728483425874866,-0.665436368718484,-0.2060337212217896,-0.5456101351589245,1.3936300430069182
healthy,-0.9691027121989028,1.350434853024526,-0.18624972017520713,-1.141770023724101,1.1110747855459417,1.23355746471726,-0.18876849185762729,-0.4627965451447494,0.050819859571244505,-0.7693100332273959,-0.6623772704407694,1.6798097203799573,-0.6141018493790054,1.3699905267701795,-0.9988509329825022,1.2857517248837846,-0.7143484794617809,-0.9535886033397452,-0.2678363997863423,-0.4673863474331041,0.8158102958124462,0.928357241137816,0.8228114346879662,1.1594311263226003,1.527821614278916,1.2507975255976218,0.9559294049108399,0.8781809203144038,0.19227421702180184,-1.5703514387150705,-0.37348853164321716,-0.5606401849204776,0.5404805554766198,0.5325181407207934,0.9294631437442349,2.181447945615183,0.13930469234827111,-0.5515509744112148,-0.03456820869305636,0.7025369026488133,-0.04050120298592939,0.8300070325651354,-0.08104428727862721,0.4454859438061931,1.721651715773023,0.5914677437808127,0.21816910121361738,-0.8003059195452529,-0.1593590125164697,-0.8162061751048554
