persistentId	citations
doi:10.7910/DVN/TMWYHB	0
doi:10.7910/DVN/V0BDE7	0
doi:10.7910/DVN/G8IHL2	0
doi:10.7910/DVN/ART54Z	0
doi:10.7910/DVN/DJVMTV	0
doi:10.7910/DVN/J0IZWX	0
doi:10.7910/DVN/JCXHDX	0
doi:10.7910/DVN/K71AJS	0
doi:10.7910/DVN/QN92JF	0
doi:10.7910/DVN/GTLASR	0
doi:10.7910/DVN/KCOHVH	0
doi:10.7910/DVN/QF1XRK	0
doi:10.7910/DVN/ZCMV6N	0
doi:10.7910/DVN/YQPWKG	0
doi:10.7910/DVN/3C0C7P	0
doi:10.7910/DVN/BPNZJA	0
doi:10.7910/DVN/MMOHBI	0
doi:10.7910/DVN/2DJRR4	0
doi:10.7910/DVN/JQOYDI	0
doi:10.7910/DVN/EXWQHL	0
doi:10.7910/DVN/V8ZPEC	0
doi:10.7910/DVN/YUQHRU	0
doi:10.7910/DVN/58C6HG	0
doi:10.7910/DVN/LUFKYG	0
doi:10.7910/DVN/DGXCTH	0
doi:10.7910/DVN/3H7DNP	0
doi:10.7910/DVN/HNVCBR	0
doi:10.7910/DVN/UAYKSU	0
doi:10.7910/DVN/AKNUWF	0
doi:10.7910/DVN/WXHLOF	0
doi:10.7910/DVN/9VBZUL	0
doi:10.7910/DVN/CEXWYQ	0
doi:10.7910/DVN/NSMOOR	0
doi:10.7910/DVN/EKSCCU	0
doi:10.7910/DVN/0WILGX	0
doi:10.7910/DVN/1N2AD4	0
doi:10.7910/DVN/L7YF2G	0
doi:10.7910/DVN/3ZU0AS	0
doi:10.7910/DVN/9V5WCM	0
doi:10.7910/DVN/QR4N7V	0
doi:10.7910/DVN/MBAVER	0
doi:10.7910/DVN/SYNPBS	0
doi:10.7910/DVN/VHNJBD	0
doi:10.7910/DVN/OKEATQ	0
doi:10.7910/DVN/2NT5CV	0
doi:10.7910/DVN/9VDUAP	0
doi:10.7910/DVN/KRZS4M	0
doi:10.7910/DVN/5XBJBM	0
doi:10.7910/DVN/HYNJSZ	0
doi:10.7910/DVN/Y1WNU7	0
doi:10.7910/DVN/CICODO	0
doi:10.7910/DVN/N3IEXS	0
doi:10.7910/DVN/BG0OHO	0
doi:10.7910/DVN/0U2TCB	0
doi:10.7910/DVN/JOEZDP	0
doi:10.7910/DVN/FYTME3	0
doi:10.7910/DVN/4GDRB1	0
doi:10.7910/DVN/NAEW8A	0
doi:10.7910/DVN/3PP3ZE	0
doi:10.7910/DVN/MONPNF	0
doi:10.7910/DVN/PXUBUN	0
doi:10.7910/DVN/XDBV6J	0
doi:10.7910/DVN/MZO8HA	0
doi:10.7910/DVN/HKXZ1E	0
doi:10.7910/DVN/2P9LZM	0
doi:10.7910/DVN/T9ZXRP	0
doi:10.7910/DVN/QN75GF	0
doi:10.7910/DVN/UTOHX5	0
doi:10.7910/DVN/906GEU	0
doi:10.7910/DVN/SYJIM7	0
doi:10.7910/DVN/QIZWWE	0
doi:10.7910/DVN/F89A4R	0
doi:10.7910/DVN/OI3MAM	0
doi:10.7910/DVN/EILHHQ	0
doi:10.7910/DVN/IOI5B3	0
doi:10.7910/DVN/BFCWDK	0
doi:10.7910/DVN/YFLNIP	0
doi:10.7910/DVN/FIDQSM	0
doi:10.7910/DVN/POMJWW	0
doi:10.7910/DVN/VCLU2S	0
doi:10.7910/DVN/TZKQS0	0
doi:10.7910/DVN/MADUXO	0
doi:10.7910/DVN/SAHFYD	0
doi:10.7910/DVN/TEM9JH	0
doi:10.7910/DVN/RFJAJ1	0
doi:10.7910/DVN/XLRSF0	0
doi:10.7910/DVN/33JJXT	0
doi:10.7910/DVN/MBABAL	0
doi:10.7910/DVN/05FVSE	0
doi:10.7910/DVN/MWMWPH	0
doi:10.17603/ds2-wfgc-a575	0
doi:10.17603/ds2-tyca-se83	0
doi:10.17603/ds2-c5z3-wy42	0
doi:10.17603/ds2-vpmv-5b34	0
doi:10.17603/ds2-a06x-f358	0
doi:10.17603/ds2-em2g-sp13	0
doi:10.17603/ds2-vnk2-wz34	0
doi:10.17603/ds2-9wp5-rp81	0
doi:10.17603/ds2-mx4b-na61	0
