INFO:root:Using default metrics strategy: MetricsStrategy.DVM
INFO:root:Using default file output type: FileOutputType.ALL
INFO:root:Using default output filestem: unique_monthly_downloads_
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CAFE HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/info/metrics/tree?parentAlias=CAFE HTTP/1.1" 200 5060
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/restricted-health-data HTTP/1.1" 200 887
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/nsaph HTTP/1.1" 200 1529
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/example_subcollection HTTP/1.1" 200 1451
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CHAIR HTTP/1.1" 200 1331
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CIESIN HTTP/1.1" 200 1281
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CHORDS HTTP/1.1" 200 1464
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/designsafe HTTP/1.1" 200 2137
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/cafe-extracted-data HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/schwartzlab HTTP/1.1" 200 886
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CAFE/contents HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/restricted-health-data/contents HTTP/1.1" 200 25
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/nsaph/contents HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/example_subcollection/contents HTTP/1.1" 200 25
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CHAIR/contents HTTP/1.1" 200 2089
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CIESIN/contents HTTP/1.1" 200 2318
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/CHORDS/contents HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/designsafe/contents HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/cafe-extracted-data/contents HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/dataverses/schwartzlab/contents HTTP/1.1" 200 25
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FTMWYHB HTTP/1.1" 200 5038
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FV0BDE7 HTTP/1.1" 200 4080
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FG8IHL2 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FART54Z HTTP/1.1" 200 7487
