year,electricity,fuelwood,fossilfuel
2001,1128,,
2002,1173,,
2003,1183,,
2004,1161,,
2005,1235,,
2006,1317,880.0,100.0
2007,1407,1050.0,
2008,1522,1140.0,
2009,1635,1090.0,
2010,1931,1180.0,
2011,1818,990.0,
2012,1929,700.0,
2013,2141,1000.0,
2014,2006,900.0,
2015,2118,1180.0,
2016,2278,1100.0,
2017,2350,1070.0,
2018,2417,1230.0,
2019,2384,1170.0,
2020,2467,1450.0,
2021,2819,1270.0,
2022,2318,1390.0,
2023,2427,1390.0,
