CML v4.8 2016 no LT;acidification no LT;acidification (incl. fate, average Europe total, A&B) no LT;kg SO2-Eq
CML v4.8 2016 no LT;climate change no LT;global warming potential (GWP100) no LT;kg CO2-Eq
CML v4.8 2016 no LT;ecotoxicity: freshwater no LT;freshwater aquatic ecotoxicity (FAETP inf) no LT;kg 1,4-DCB-Eq
CML v4.8 2016 no LT;ecotoxicity: marine no LT;marine aquatic ecotoxicity (MAETP inf) no LT;kg 1,4-DCB-Eq
CML v4.8 2016 no LT;ecotoxicity: terrestrial no LT;terrestrial ecotoxicity (TETP inf) no LT;kg 1,4-DCB-Eq
CML v4.8 2016 no LT;energy resources: non-renewable no LT;abiotic depletion potential (ADP): fossil fuels no LT;MJ
CML v4.8 2016 no LT;eutrophication no LT;eutrophication (fate not incl.) no LT;kg PO4-Eq
CML v4.8 2016 no LT;human toxicity no LT;human toxicity (HTP inf) no LT;kg 1,4-DCB-Eq
CML v4.8 2016 no LT;material resources: metals/minerals no LT;abiotic depletion potential (ADP): elements (ultimate reserves) no LT;kg Sb-Eq
CML v4.8 2016 no LT;ozone depletion no LT;ozone layer depletion (ODP steady state) no LT;kg CFC-11-Eq
CML v4.8 2016 no LT;photochemical oxidant formation no LT;photochemical oxidation (high NOx) no LT;kg ethylene-Eq
CML v4.8 2016;acidification;acidification (incl. fate, average Europe total, A&B);kg SO2-Eq
CML v4.8 2016;climate change;global warming potential (GWP100);kg CO2-Eq
CML v4.8 2016;ecotoxicity: freshwater;freshwater aquatic ecotoxicity (FAETP inf);kg 1,4-DCB-Eq
CML v4.8 2016;ecotoxicity: marine;marine aquatic ecotoxicity (MAETP inf);kg 1,4-DCB-Eq
CML v4.8 2016;ecotoxicity: terrestrial;terrestrial ecotoxicity (TETP inf);kg 1,4-DCB-Eq
CML v4.8 2016;energy resources: non-renewable;abiotic depletion potential (ADP): fossil fuels;MJ
CML v4.8 2016;eutrophication;eutrophication (fate not incl.);kg PO4-Eq
CML v4.8 2016;human toxicity;human toxicity (HTP inf);kg 1,4-DCB-Eq
