building_category,building_code,area
apartment_block,PRE_TEK49,12777246
apartment_block,TEK49,12793316
apartment_block,TEK69,12679268
apartment_block,TEK87,4623808
apartment_block,TEK97,10024890
apartment_block,TEK07,3477435
apartment_block,TEK10,11245568
house,PRE_TEK49,49408249
house,TEK49,71191856
house,TEK69,75010253
house,TEK87,26804616
house,TEK97,24161659
house,TEK07,8933605
house,TEK10,17513757
kindergarten,PRE_TEK49,360687
kindergarten,TEK49,395768
kindergarten,TEK69,465007
kindergarten,TEK87,459412
kindergarten,TEK97,480468
kindergarten,TEK07,445252
kindergarten,TEK10,453523
school,PRE_TEK49,2918530
school,TEK49,3825312
school,TEK69,2939528
school,TEK87,1024007
school,TEK97,1381987
school,TEK07,964171
school,TEK10,1885803
university,PRE_TEK49,470005
university,TEK49,543934
university,TEK69,690131
university,TEK87,521868
university,TEK97,517805
university,TEK07,226949
university,TEK10,186877
office,PRE_TEK49,5490868
office,TEK49,5426627
office,TEK69,6939279
office,TEK87,4452546
office,TEK97,3818472
office,TEK07,2063039
office,TEK10,3191565
retail,PRE_TEK49,4886906
retail,TEK49,6252160
retail,TEK69,7127892
retail,TEK87,3683906
retail,TEK97,4189579
retail,TEK07,2560015
retail,TEK10,3357155
hotel,PRE_TEK49,1940825
hotel,TEK49,1850727
hotel,TEK69,1519726
hotel,TEK87,749441
hotel,TEK97,942380
hotel,TEK07,677755
hotel,TEK10,802546
hospital,PRE_TEK49,701476
hospital,TEK49,674212
hospital,TEK69,635074
hospital,TEK87,357828
hospital,TEK97,576819
hospital,TEK07,82335
hospital,TEK10,414770
nursing_home,PRE_TEK49,991462
nursing_home,TEK49,1383981
nursing_home,TEK69,1481965
nursing_home,TEK87,670938
nursing_home,TEK97,1427901
nursing_home,TEK07,289386
nursing_home,TEK10,630817
culture,PRE_TEK49,1909630
culture,TEK49,1923480
culture,TEK69,1439745
culture,TEK87,781280
culture,TEK97,508477
culture,TEK07,260411
culture,TEK10,378210
sports,PRE_TEK49,531426
sports,TEK49,703080
sports,TEK69,1132460
sports,TEK87,961208
sports,TEK97,1109723
sports,TEK07,581204
sports,TEK10,1451364
storage_repairs,PRE_TEK49,2650280
storage_repairs,TEK49,3505868
storage_repairs,TEK69,3577553
storage_repairs,TEK87,2039191
storage_repairs,TEK97,3081789
storage_repairs,TEK07,1953926
storage_repairs,TEK10,3562046
