ID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
TN,,Tataouine,32.974,10.485,210,UTC+01:00,RR 111 ط ج,Oued El Ghar,Tataouine,Tunisia,,,,BWh,,1M,,CRTEn,,,,2010-12-12,,
JOR,,Ma'an,30.172,35.818,1012,UTC+03:00,,,Maan,Jordan,,,,BWk,,1M,,University of Jordan,,,,2011-01-13,,
OUJ,,Oujda,34.650,-1.900,617,UTC+01:00,Rue Assouadad,Oujda,Oriental,Morocco,,,,BSk,,1M,,University of oujda,,,,2011-08-18,,
CAI,,Cairo,30.036,31.009,104,UTC+02:00,Doctor Atef Sedky Street,Legenda,Giza,Egypt,,,,BWh,,1M,,Cairo University,,,,2012-06-06,,
ADR,,Adrar,27.880,-0.274,262,UTC+01:00,,Adrar,Adrar,Algeria,,,,BWh,,1M,,CDER,,,,2012-09-27,,
GHA,,Ghardaia,32.386,3.780,463,UTC+01:00,Trans-Sahara,El Atteuf,Ghardaia,Algeria,,,,BWh,,1M,,CDER,,,,2012-09-30,,
MIS,,Missour,32.860,-4.107,1107,UTC+01:00,RR601,"caïdat de Missour, Ouizeght, Megdoul Ouled Dahou",Fez-Meknes,Morocco,,,,BWh,,1M,,IRESEN,,,,2013-05-27,,
ERF,,Erfoud,31.491,-4.218,859,UTC+01:00,RN17,"caïdat d'Arab Sebbah Ziz قيادة عرب صباح زيز, Maadid",Drâa-Tafilalet,Morocco,,,,BWh,,1M,,IRESEN,,,,2013-05-30,,
ZAG,,Zagora,30.272,-5.852,783,UTC+01:00,,"Caïdat de Tinzouline قيادة تينزولين, Ternata ترناتة",Drâa-Tafilalet,Morocco,,,,BWh,,1M,,IRESEN,,,,2013-05-31,,
TAN,,Tan-Tan,28.498,-11.322,75,UTC+01:00,,El Ouatia,Guelmim-Oued Noun,Morocco,,,,,,1M,,IRESEN,,,,2013-06-05,,
FKI,,Ben Salah,32.578,-6.622,485,UTC+01:00,,"caïdat de Bni Amir Charkia, Al Khalfia",Béni Mellal-Khénifra,Morocco,,,,Csa,,1M,,IRESEN,,,,2019-01-01,,
PSA,,plataforma solar de almería,37.091,-2.358,500,UTC+01:00,,"Ctra. de Senés",Tabernas Almería,Spain,,,,Bsk,,1M,Nathalie Hanrieder,DLR,,,,2002-06-26,,
