ID,Region,Country,City,UID,Name,StartDate,EndDate,Institude,Latitude,Longitude,Elevation,TimeResolution,Comment
ADE,Australia,Australia,Adelaide,adelaide_airport,adelaide_airport (Australia),2015-01-01,2020-08-27,BoM,-34.9524,138.5196,2,1M,Excellent coherence between solar components
ADR,Africa,Algeria,Adrar,,"Adrar, CDER",2015-01-01,2018-04-06,Enermena,27.88,-0.274,262,1M,After September 2015
ALB,North America,USA (NM),,ABQ,Albuquerque,2015-01-01,2019-01-01,NOAA,35.03796,-106.62211,1617,1M,
ALE,Africa,South Africa,Alexander Bay,RVD,"GIZ Richtersveld (Alexander Bay, South Africa)",2015-01-01,2020-08-27,SAURAN,-28.5608,16.7615,141,1M,
ALI,Australia,Australia,,asp,Alice Springs (Macdonnell Ranges Northern Territory Australia),2015-01-01,2020-08-27,BSRN,-23.798,133.888,547,1M,
ARA,Africa,Namibia,Arandis,,Arandis,2015-01-01,2019-02-01,NamPower,-22.3657,15.045,697,1M,
ARI,North America,USA,,NREL_6UA,SOLRMAP University of Arizona (OASIS),2015-01-01,2019-10-31,NREL,32.2297,-110.9553,786,1M,
AUA,Africa,Namibia,Auas,,Auas,2015-01-01,2019-02-01,NamPower,-22.5882,17.3635,1880,1M,
BAC,Asia,Vietnam,,VNHAN,Bac Ninh,2015-01-01,2019-01-01,ESMAP,21.2015,160.063,42,1M,data quality very good
BAH,Asia,Pakistan,,,"Bahawalpur, Quaid-e-Azam Solar Park",2015-01-01,2020-04-01,ESMAP,29.325,71.819,75,1M,
BAR,North America,USA (AK),,BRW,Barrow,2015-01-01,2017-01-01,NOAA,71.323,-156.6114,11,1M,
BIS,North America,USA (ND),,BIS,Bismarck,2015-01-01,2019-01-01,NOAA,46.77179,-100.75955,503,1M,
BLO,Africa,South Africa,Bloemfontein,CUT,"Central Univ. of Technology (Bloemfontein, South Africa)",2015-01-01,2020-08-27,SAURAN,-29.1213,26.2159,1397,1M,
BON,North America,USA,Bondville,BON,Bondville,2015-01-01,2019-01-31,BSRN,40.0667,-88.3667,213,1M,Excellent coherence between solar components
BOU,North America,USA,"Boulder, SURFRAD",BOS,"Boulder, SURFRAD",2015-01-01,2019-01-31,BSRN,40.125,-105.237,1689,1M,Excellent coherence between solar components
BRA,South America,Brazil,Brasilia,BRB,Brasilia,2015-01-01,2019-04-30,BSRN,-15.601,-47.713,1023,1M,BSRN station. Only initial calibration constants were given (2014). All data is missing for 2017 and 2018. Overall very little data - consider not using station at all!
BRO,Australia,Australia,Broome,broome_airport,broome_airport (Australia),2015-01-01,2020-08-27,BoM,-17.9475,122.2353,7.42,1M,Excellent coherence between solar components
BUR,North America,USA (OR),,,Burns,2015-01-01,2018-01-01,SRML,43.519197,-119.021623,1265,1M,Tier 2 station
CAB,Europe,Netherlands,Cabauw,CAB,Cabauw,2015-01-01,2019-09-30,BSRN,51.9711,4.9267,0,1M,
CAC,South America,Brazil,Cachoeira Paulista,CPA,Cachoeira Paulista,2015-01-01,2020-04-30,Sonda,-22.6896,-45.0062,574,1M,K&Z tracker
CAH,Asia,Japan,,,Cape Hedo,2015-01-01,2019-01-01,SKYNET,26.867,128.248,65,1M,
CAI,Africa,Egypt,Cairo,,Cairo University,2015-01-01,2020-08-27,Enermena,30.036,31.009,104,1M,
CAP,Australia,Australia,"Woolnorth,Tasmania",cape_grim_radiation,cape_grim_airport (Australia),2015-01-01,2020-08-27,BoM,-40.6817,144.6892,95,1M,High horizon line
CAR,Europe,France,Carpentras,CAR,Carpentras,2015-01-01,2018-12-31,BSRN,44.083,5.059,100,1M,Excellent coherence between solar components
CAS,Europe,Italy,Casaccia-Rome,,Casaccia-Rome,2015-01-01,2020-11-18,ENEA,42.04167,12.30667,150,1M,no metadata (temperature etc) avaliable. 2015 to End of April 2016 large offset in the DHI
CEH,Asia,Vietnam,,VNCEH,Central Highlands,2015-01-01,2019-01-01,ESMAP,12.7534,107.8763,277,1M,very good data quality. Larger data gaps in October and November 2019
CEN,Europe,Spain,Cener,CNR,Cener,2015-01-01,2019-02-28,BSRN,42.816,-1.601,471,1M,
CHB,Asia,Japan,,,Chiba,2015-01-01,2019-01-01,SKYNET,35.625,140.104,21,1M,
CHI,Africa,Malawi,,,Chileka,2015-01-01,2018-01-01,ESMAP,-15.67984,34.97229,769,1M,2016 Quality ok. 2017 and 2018 good quality
CHL,Africa,Zambia,,,Chilanga,2015-01-01,2017-01-01,ESMAP,-15.5483,28.24817,1226,1M,dew in the morning in winter. Flagged manually
CHO,Africa,Zambia,,,Choma,2015-01-01,2017-01-01,ESMAP,-16.83828,27.07046,1284,1M,dew in the morning in winter. Flagged manually
COC,Australia,Cocos Islands,Cocos Island,COC,Cocos Island,2015-01-01,2018-12-31,BSRN,-12.193,96.835,6,1M,Excellent coherence between solar components
COI,Australia,Cocos Islands,Cocos Island,cocos_island_airport,cocos_island (Australia),2015-01-01,2020-08-27,BoM,-12.1892,96.8344,3,1M,Excellent coherence between solar components
CON,Antarctica,Antarctica,,dom,Concordia Station Dome C (Antarctica),2015-01-01,2019-02-28,BSRN,-75.1,123.383,3233,1M,
DAN,Asia,Vietnam,,VNDAN,Da Nang,2015-01-01,2019-01-01,ESMAP,16.01257,108.18649,11,1M,data quality good in 2017 and 2019. in 2018 data quality ok with many small data gaps
DAO,Europe,Switzerland,,DAV,Davos,2015-01-01,2020-09-18,PMOD,46.813,9.844,1610,1M,
DAR,Africa,Tanzania,,,Dar Es Salaam,2015-01-01,2017-01-01,ESMAP,-6.78,39.2,122,1M,2015: Medium quality of data. Data gap between mid September and December and in May and June 2015. 2016 and 2017: medium quality of data
DAV,Europe,Switzerland,,DAV,Davos,2015-01-01,2019-01-01,MeteoSwiss,46.813,9.844,1610,1M,
DEA,Africa,South Africa,De Aar,DAA,De Aar,2015-01-01,2019-09-30,BSRN,-30.6667,23.993,1287,1M,
DES,North America,USA,Desert Rock,DRA,Desert Rock,2015-01-01,2019-01-31,BSRN,36.626,-116.018,1007,1M,Excellent coherence between solar components
