,xy,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
0,"{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}"
1,"{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}"
2,"{'stage2': np.True_, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}"
3,"{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}"
4,"{'stage2': np.False_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.True_}"
5,"{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.False_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}"
6,"{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.False_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}"
7,"{'stage2': False, 'stage1': np.True_}","{'stage2': np.False_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}"
8,"{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}"
9,"{'stage2': np.True_, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}"
10,"{'stage2': np.False_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.False_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': np.True_, 'stage1': np.True_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}","{'stage2': False, 'stage1': np.False_}"
