# Source  Replacements (space-separated)
li h
h li
rn m
m rn
cl d
d cl
I l
l I 1
1 l I
0 O
O 0
B 8
8 B
S 5
5 S
Z 2
2 Z
G 6
6 G
“ "
” "
‘ '
’ '
— -
– -
vv w
w vv
ri n
n ri
