Factors,Extracellular exchange,Ubiquinone synthesis,Fatty acid oxidation,Starch and sucrose metabolism,Miscellaneous,Cholesterol metabolism,Fatty acid synthesis,Galactose metabolism,Fructose and mannose metabolism,Intracellular source/sink
healthy,-1.8392588313661502,-207.472018250782,-52.786501643884634,634.8664295086692,-699.684783891191,-692.1006705060888,-667.8543572799583,1481.3766944480953,-248.62947333974446,-457.4973518847917
healthy,-0.015514220438851279,-231.03307507654523,-9.798319665069188,-49.46899414924502,297.35419394714916,304.93830733220756,329.18462055838745,-517.9061916981021,-274.7440390402139,177.05896936661247
healthy,-3.012635003903256,-226.2644864134764,-9.558478878008744,-106.02442827927763,297.35419394714916,304.93830733220756,329.18462055838745,-517.8116124131091,-277.98001195979884,177.0500929215067
c,177.93097642429214,1538.3573841276175,-46.87774397264384,719.3483091826174,-698.2657052106952,-690.6815918258349,-666.3260759869372,1481.3304260864245,1198.218696679181,-485.9782304493265
c,108.29840140650471,-199.5838961150772,-69.23998578271194,610.8284826018603,-698.2093945128827,-690.6252811275792,-666.3789679016679,1481.3415399653168,1219.2955600995165,-485.6591052222429
c,102.81337108467315,-192.98149810411456,-53.650017017528,667.5270283281027,-698.723344050482,-691.1392306651436,-666.8929174391874,1481.4430103894988,1219.991188983383,-485.872187204702
c,279.0962992237576,1699.8674160258888,-46.954546732209465,610.3797573285829,-696.8966351022632,-689.3125217171792,-665.0662084911194,1481.37690022187,1219.0823865371667,-485.0819516489182
c,211.9822115945509,1596.5206857950463,-51.15852140370973,664.4912385364057,-695.9990109712428,-688.4148975860616,-664.168584359988,1481.3698044389575,1219.8059403276216,-483.33411770255447
healthy,138.30750082667618,17.284885863724938,37.71684334896127,-95.02923695589176,297.35419394714916,304.93830733220756,329.18462055838745,-517.8610961575273,-273.21221960856474,177.04528205538998
healthy,166.46808109569562,-105.36326257651073,63.33928443362334,-95.60635085562299,297.35419394714916,304.93830733220756,329.18462055838745,-517.8890290017405,-277.71956361177104,176.9937294574657
healthy,98.39628885128398,-94.48932232096722,23.168667793624834,-143.94484274406426,282.3830767779921,304.93830733220756,329.18462055838745,-517.8104423324908,-16.677142037520895,128.48683530385154
c,279.4323508366528,1691.5479648707724,-52.83852083223586,625.3961502686054,-699.2173893692991,-691.6332759843976,-667.2352074890829,1481.3186192162832,1219.1441589174729,-466.03740167891084
c,185.4522000308099,1708.9524966731237,-47.194029970160685,746.0053243922899,-700.3857046518945,-692.8015912667433,-665.4272331628694,1481.036957649241,-269.49063702786566,-403.4763247371991
healthy,124.80332951756733,-216.62276577344534,63.76303032358164,-94.38782421099626,297.35419394714916,304.93830733220756,329.18462055838745,-517.7576843053198,-273.97528911263794,177.08618288021108
