# SIMPLE  =                    T / conforms to FITS standard                      
# BITPIX  =                    8 / array data type                                
# NAXIS   =                    0 / number of array dimensions                     
# EXTEND  =                    T                                                  
# VERSPYT = '3.11.7  '           / Python version                                 
# VERSNPY = '1.26.4  '           / Numpy version                                  
# VERSSCI = '1.12.0  '           / Scipy version                                  
# VERSAST = '6.0.0   '           / Astropy version                                
# VERSSKL = '1.4.1.post1'        / Scikit-learn version                           
# VERSPYP = '1.17.0  '           / PypeIt version                                 
# DATE    = '2025-02-13'         / UTC date created                               
# RA      =   215.57449999999997                                                  
# DEC     =   50.508472222222224                                                  
# TARGET  = 'GOTO25afz'                                                           
# DISPNAME= 'blue    '                                                            
# DECKER  = 'slit    '                                                            
# BINNING = '1,1     '                                                            
# MJD     =         60719.225422                                                  
# DATETIME= '2025-02-13T05:24:36.461' / Date and time of the observation in ISOT f
# AIRMASS =             1.083654                                                  
# EXPTIME =                900.0                                                  
# FILENAME= 'v_e_20250212_117_1_0_9.fits.gz'                                      
# INSTRUME= 'SPRAT   '                                                            
# DETECTOR= 'E2V CCD30-11 10333-02-26'                                            
# DATE-OBS= '2025-02-13T05:24:36.422'                                             
# CONFNAME= 'user_def_config'                                                     
# FOVTYPE = 'slit    '                                                            
# CCDXBIN =                    1                                                  
# CCDYBIN =                    1                                                  
# PYPELINE= 'MultiSlit'                                                           
# PYP_SPEC= 'lt_sprat'                                                            
# TELESCOP= 'LT      '                                                            
# LON-OBS =  -17.879999999999995                                                  
# LAT-OBS =   28.758333333333336                                                  
# ALT-OBS =    2326.999999998442                                                  
# CLBS_DIR= '/home/mpursiai/onedrive-work/work/GOTO_classifications/GOTO-FAST/py&'
# CONTINUE  'peit/20250212/reduced/Calibrations'                                  
# CLBS_ARC= 'Arc_A_0_DET01.fits'                                                  
# HIERARCH CLBS_WAVECALIB = 'WaveCalib_A_0_DET01.fits'                            
# HIERARCH CLBS_BIAS = 'Bias_A_0_DET01.fits'                                      
# HIERARCH CLBS_FLAT = 'Flat_A_0_DET01.fits'                                      
# HIERARCH CLBS_EDGES = 'Edges_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_SLITS = 'Slits_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_TILTIMG = 'Tiltimg_A_0_DET01.fits'                                
# HIERARCH CLBS_TILTS = 'Tilts_A_0_DET01.fits'                                    
# DMODCLS = 'SpecObjs'           / Datamodel class                                
# DMODVER = '1.0.0   '           / Datamodel version                              
# EXT0000 = 'SPAT0126-SLIT0113-DET01'                                             
# NSPEC   =                    1                                                  
# 
#      Lam       Flux        STD
  4000.997  2.725e-15  3.829e-16
  4005.150  1.632e-15  3.661e-16
  4009.302  1.961e-15  3.495e-16
  4013.454  2.016e-15  3.397e-16
  4017.601  1.749e-15  2.880e-16
  4021.751  8.553e-16  2.647e-16
  4025.909  7.658e-16  2.775e-16
  4030.072  8.513e-16  2.832e-16
  4034.236  1.354e-15  2.931e-16
  4038.412  8.173e-16  3.004e-16
  4042.581  7.629e-16  3.072e-16
  4046.753  1.130e-15  3.148e-16
  4050.922  2.182e-15  3.179e-16
  4055.093  1.439e-15  3.075e-16
  4059.271  1.308e-15  2.979e-16
  4063.452  1.144e-15  2.888e-16
  4067.635  1.342e-15  2.781e-16
  4071.820  1.575e-15  2.719e-16
  4076.006  1.569e-15  2.609e-16
  4080.196  1.679e-15  2.530e-16
  4084.387  1.432e-15  2.442e-16
  4088.582  1.701e-15  2.402e-16
  4092.778  9.685e-16  2.266e-16
  4096.976  1.111e-15  2.210e-16
  4101.177  1.060e-15  2.165e-16
  4105.379  1.316e-15  2.152e-16
  4109.584  1.543e-15  2.186e-16
  4113.792  7.589e-16  2.109e-16
  4118.001  1.664e-15  2.204e-16
  4122.213  1.392e-15  2.168e-16
  4126.426  1.448e-15  2.144e-16
  4130.642  1.463e-15  2.109e-16
  4134.861  1.677e-15  2.097e-16
  4139.081  1.164e-15  2.007e-16
  4143.303  1.374e-15  1.994e-16
  4147.529  1.491e-15  1.967e-16
  4151.755  1.610e-15  1.934e-16
  4155.985  9.820e-16  1.859e-16
  4160.216  1.339e-15  1.852e-16
  4164.449  1.519e-15  1.836e-16
  4168.684  1.404e-15  1.797e-16
  4172.922  1.555e-15  1.779e-16
  4177.162  1.690e-15  1.756e-16
  4181.404  9.822e-16  1.672e-16
  4185.648  1.348e-15  1.681e-16
  4189.894  1.255e-15  1.657e-16
  4194.142  1.546e-15  1.654e-16
  4198.392  1.449e-15  1.624e-16
  4202.646  1.454e-15  1.610e-16
  4206.899  1.488e-15  1.609e-16
  4211.157  1.584e-15  1.609e-16
  4215.415  1.599e-15  1.601e-16
  4219.676  1.406e-15  1.558e-16
  4223.940  1.390e-15  1.526e-16
  4228.204  1.762e-15  1.525e-16
  4232.471  1.442e-15  1.484e-16
  4236.741  1.017e-15  1.438e-16
  4241.013  1.437e-15  1.469e-16
  4245.285  1.565e-15  1.469e-16
  4249.561  1.558e-15  1.453e-16
  4253.838  1.504e-15  1.444e-16
  4258.119  1.716e-15  1.441e-16
  4262.400  1.478e-15  1.415e-16
  4266.683  1.439e-15  1.396e-16
  4270.969  1.676e-15  1.403e-16
