Links,mesh_name,mesh_filepath,origin_t_x,origin_t_y,origin_t_z,origin_r_r,origin_r_p,origin_r_y,scale_x,scale_y,scale_z,material_name,reference_offset_x,reference_offset_y,reference_offset_z,Child_Joint
BASE,,,,,,,,,,,,,,,,
BODY,visual_0_BODY,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0.206803,Spine1_P
Spine1_1,,,,,,,,,,,,,,,,
Spine1_2,,,,,,,,,,,,,,,,
Spine1_3,visual_0_Spine1_3,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0.138702,Spine2_P
Spine2_1,,,,,,,,,,,,,,,,
Spine2_2,,,,,,,,,,,,,,,,
Spine2_3,visual_0_Spine2_3,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0.138701,Chest
Neck1,,,,,,,,,,,,,,,,
Neck2,,,,,,,,,,,,,,,,
Neck3,visual_0_Neck3,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0,L_Ear
Torso,visual_0_Torso,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0.095262,Neck_Y
L_Ear_link,,,,,,,,,,,,,,,,
L_Ear_ref,,,,,,,,,,,,,,,,
L_sblade,visual_0_L_sblade,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0,L_Shoulder
L_Arm1,visual_0_L_Arm1,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.255373,L_Elbow
L_Arm2,visual_0_L_Arm2,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.269843,L_Wrist_P
L_Wrist1,,,,,,,,,,,,,,,,
L_Wrist2,,,,,,,,,,,,,,,,
L_Wrist3,visual_0_L_Wrist3,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0,L_hand1
L_finger_1,,,,,,,,,,,,,,,,
L_finger_1_ref,,,,,,,,,,,,,,,,
L_finger_2,,,,,,,,,,,,,,,,
L_finger_2_ref,,,,,,,,,,,,,,,,
L_Leg1,visual_0_L_Leg1,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.445236,L_Knee
L_Leg2,visual_0_L_Leg2,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.439292,L_Ankle_Y
L_Leg3,,,,,,,,,,,,,,,,
L_Leg4,,,,,,,,,,,,,,,,
L_Ankle,visual_0_L_Ankle,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,-0.108629,-0.072448,L_Foot_Pinky_P
L_Foot,visual_0_L_Foot,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,-0.063261,0,L_BigToe
L_Foot_tip,,,,,,,,,,,,,,,,
L_Foot_ref,,,,,,,,,,,,,,,,
R_Ear_link,,,,,,,,,,,,,,,,
R_Ear_ref,,,,,,,,,,,,,,,,
R_sblade,visual_0_R_sblade,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0,R_Shoulder
R_Arm1,visual_0_R_Arm1,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.255373,R_Elbow
R_Arm2,visual_0_R_Arm2,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.269843,R_Wrist_P
R_Wrist1,,,,,,,,,,,,,,,,
R_Wrist2,,,,,,,,,,,,,,,,
R_Wrist3,visual_0_R_Wrist3,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,0,R_hand1
R_finger_1,,,,,,,,,,,,,,,,
R_finger_1_ref,,,,,,,,,,,,,,,,
R_finger_2,,,,,,,,,,,,,,,,
R_finger_2_ref,,,,,,,,,,,,,,,,
R_Leg1,visual_0_R_Leg1,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.445236,R_Knee
R_Leg2,visual_0_R_Leg2,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,0,-0.439292,R_Ankle_Y
R_Leg3,,,,,,,,,,,,,,,,
R_Leg4,,,,,,,,,,,,,,,,
R_Ankle,visual_0_R_Ankle,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,-0.108629,-0.072448,R_Foot_Pinky_P
R_Foot,visual_0_R_Foot,,0,0,0,0,0,0,1.0,1.0,1.0,MoveBotMaterial,0,-0.063261,0,R_BigToe
R_Foot_tip,,,,,,,,,,,,,,,,
R_Foot_ref,,,,,,,,,,,,,,,,
L_Eye_link,,,,,,,,,,,,,,,,
L_Eye_ref,,,,,,,,,,,,,,,,
R_Eye_link,,,,,,,,,,,,,,,,
R_Eye_ref,,,,,,,,,,,,,,,,
