"Links","Mass","Inertial_origin_x","Inertial_origin_y","Inertial_origin_z","Inertial_origin_r","Inertial_origin_p","Inertial_origin_y","Geom","radius","length","Bonelength","factor","CoM_ratio","vis","RefPoint","Chain","Dimension_1","Dimension_2","Dimension_3"
"BASE",0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0
"BODY",0.192,0,0,0.1,0,0,0,2,0.09,0,"Hips",1,0.5,1,1,0,0.18,0.1,0.13
"Spine1",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"Spine2",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"Spine3",0.288,0,0,0.125,0,0,0,2,0.115,0,"Spine",1,0.5,1,1,1,0.28,0.12,"Spine"
"Neck1",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"Neck2",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"Neck3",0,0,0,0,0,0,0,-1,0,0,,0,0,0,1,1,0,0,0
"Torso",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"L_Ear_link",0,0,0,0,0,0,0,-1,0,0,,0,0,0,1,1,0,0,0
"L_Ear_ref",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"L_sblade",0,0,0,0,0,0,0,-1,0,0,"LeftShoulder",0,0,0,,,0,0,0
"L_Arm1",0.02375,0,0,-0.13,0,0,0,2,0.05,0.25,"LeftArm",-1,0.5,1,1,2,0.075,0.075,"LeftArm"
"L_Arm2",0.02375,0,0,-0.125,0,0,0,2,0.05,0.24,"LeftForeArm",-1,0.5,1,1,2,0.06,0.06,"LeftForeArm"
"L_Wrist1",0,0,0,0,0,0,0,-1,0,0,,0,0,0,1,2,0,0,0
"L_Wrist2",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"L_Wrist3",0,0,0,-0.07,0,0,0,2,0,0,"LeftHand",-1,0.5,1,,,0.025,"LeftHand",0.05
"L_finger_1",0,0,0,0,0,0,0,-1,0.025,0,"LeftHandWidth",0,0,0,1,2,0,0,0
"L_finger_1_ref",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,,0,0,0
"L_finger_2",0,0,0,0,0,0,0,-1,0.025,0,"LeftHand",0,0,0,1,2,0,0,0
"L_finger_2_ref",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,,0,0,0
"L_Leg1",0.1075,0,0,-0.175,0,0,0,2,0.05,0.35,"LeftUpLeg",-1,0.5,1,1,4,0.11,0.11,"LeftUpLeg"
"L_Leg2",0.07,0,0,-0.15,0,0,0,2,0.05,0.3,"LeftLeg",-1,0.5,1,1,4,0.085,0.085,"LeftLeg"
"L_Leg3",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"L_Leg4",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"L_Ankle",0,0,-0.06,-0.057,0,0,0,2,0,0,"LeftFoot",-0.75,1,1,1,4,0.08,"LeftFoot",0.025
"L_Foot",0,-0.0625,0,-0.00625,0,0,0,2,0,0,"LeftFoot",-0.25,1,1,1,4,0.08,"LeftFoot",0.0125
"L_Foot_tip",0,0,0,0,0,0,0,-1,0.02,0,,0,0,0,1,4,0,0,0
"L_Foot_ref",0,0,0,0,0,0,0,-1,0.02,0,,0,0,0,,,0,0,0
"R_Ear_link",0,0,0,0,0,0,0,0,0.095,0,"EyeToEar",1,1,1,1,1,0,0,0
"R_Ear_ref",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"R_sblade",0,0,0,0,0,0,0,-1,0,0,"LeftShoulder",0,0,0,,,0,0,0
"R_Arm1",0.02375,0,0,-0.13,0,0,0,2,0.05,0.25,"LeftArm",-1,0.5,1,1,3,0.075,0.075,"LeftArm"
"R_Arm2",0.02375,0,0,-0.125,0,0,0,2,0.05,0.24,"LeftForeArm",-1,0.5,1,1,3,0.06,0.06,"LeftForeArm"
"R_Wrist1",0,0,0,0,0,0,0,-1,0,0,,0,0,0,1,3,0,0,0
"R_Wrist2",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"R_Wrist3",0,0,0,-0.07,0,0,0,2,0,0,"LeftHand",-1,0.5,1,,,0.025,"LeftHand",0.05
"R_finger_1",0,0,0,0,0,0,0,-1,0.025,0,"LeftHandWidth",0,0,0,1,3,0,0,0
"R_finger_1_ref",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,,0,0,0
"R_finger_2",0,0,0,0,0,0,0,-1,0.025,0,"LeftHand",0,0,0,1,3,0,0,0
"R_finger_2_ref",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,,0,0,0
"R_Leg1",0.1075,0,0,-0.175,0,0,0,2,0.05,0.35,"LeftUpLeg",-1,0.5,1,1,5,0.11,0.11,"LeftUpLeg"
"R_Leg2",0.07,0,0,-0.15,0,0,0,2,0.05,0.3,"LeftLeg",-1,0.5,1,1,5,0.085,0.085,"LeftLeg"
"R_Leg3",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"R_Leg4",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"R_Ankle",0,0,-0.06,-0.057,0,0,0,2,0,0,"LeftFoot",-0.75,1,1,1,5,0.08,"LeftFoot",0.025
"R_Foot",0,0.0625,0,-0.00625,0,0,0,2,0,0,"LeftFoot",-0.25,1,1,1,5,0.08,"LeftFoot",0.0125
"R_Foot_tip",0,0,0,0,0,0,0,-1,0.02,0,,0,0,0,1,5,0,0,0
"R_Foot_ref",0,0,0,0,0,0,0,-1,0.02,0,,0,0,0,,,0,0,0
"L_Eye_link",0,0,0,0,0,0,0,-1,0,0,,0,0,0,1,1,0,0,0
"L_Eye_ref",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,0,0,0
"R_Eye_link",0,0,0,0,0,0,0,-1,0,0,,0,0,0,1,1,0,0,0
"R_Eye_ref",0,0,0,0,0,0,0,-1,0,0,,0,0,0,,,,,
