,"Limit_effort","Limit_lower","Limit_upper","Limit_velocity","Axis_x","Axis_y","Axis_z","Origin_x","Origin_y","Origin_z","Origin_r","Origin_p","Origin_ya","BL_x","BL_y","BL_z","F_x","F_y","F_z","kalman_state_idx","Chain","Quaternion","Fixed_joint_idx","kinematic_q_index"
"Spine_P",100,0,0.3,1000,1,0,0,0,0,0,0,0,0,0,0,"Hips",0,0,1,22,1,0,0,24
"Spine_R",100,-0.52,0.52,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,25
"Spine_Y",100,-0.26,0.26,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,26
"Chest",100,-3.14,3.14,1000,0,0,1,0,0,0.25,0,0,0,0,0,"Spine",0,0,1,-1,-1,0,0,-1
"Neck_R",100,-1.2,1.2,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,37
"Neck_P",100,-1.2,1.2,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,38
"Neck_Y",100,-1.2,1.2,1000,0,0,1,0,0,0.1,0,0,0,0,0,"Neck",0,0,1,35,1,0,0,39
"L_Ear",100,0,0,1000,1,0,0,0.1,0.04,0.15,0,0,0,"EyeToEye",0,"Head",1,0,1,-1,1,0,40,40
"L_Ear_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"R_Ear",100,0,0,1000,1,0,0,0,0.04,0,0,0,0,"EyeToEye",0,0,-2,0,0,-1,1,0,41,41
"R_Ear_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"L_Eye",100,0,0,1000,1,0,0,0.1,0,0.15,0,0,0,"Ear2Eye_x","Ear2Eye_y","Ear2Eye_z",-1,-1,1,-1,1,0,42,42
"L_Eye_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"R_Eye",100,0,0,1000,1,0,0,0,0,0.15,0,0,0,"Ear2Eye_x","Ear2Eye_y","Ear2Eye_z",1,-1,1,-1,1,0,43,43
"R_Eye_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"L_Shoulder_Prism",100,-0.25,0.25,1000,0,0,1,0.021,0,0,0,0,0,"LeftShoulder",0,0,1,0,0,25,2,0,0,27
