,"Limit_effort","Limit_lower","Limit_upper","Limit_velocity","Axis_x","Axis_y","Axis_z","Origin_x","Origin_y","Origin_z","Origin_r","Origin_p","Origin_ya","BL_x","BL_y","BL_z","F_x","F_y","F_z","kalman_state_idx","Chain","Quaternion","Fixed_joint_idx","kinematic_q_index"
"L_Shoulder",100,-3.14,3.14,1000,-1,0,0,0,0,0,0,-1.5707963267949,0,0,0,0,0,0,0,26,2,1,0,28
"L_Shoulder_Quat1",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,1,0,29
"L_Shoulder_Quat2",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,1,0,30
"L_Shoulder_Quat3",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,1,0,56
"L_Elbow",100,-3.14,0.01,1000,1,0,0,0,0,-0.263,0,0,0,0,0,"LeftArm",0,0,-1,29,2,0,0,31
"L_Wrist_P",100,-0.5,0.5,1000,1,0,0,0,0,-0.25,0,0,0,0,0,"LeftForeArm",0,0,-1,30,2,0,0,32
"L_Wrist_R",100,-0.5,0.5,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,33
"L_Wrist_Y",100,-0.3,0.3,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,34
"L_hand1",100,0,0,1000,0,0,0,0,0.04,-0.08,0,0,0,0,"LeftHandWidth","LeftHand",0,0.8,-0.9,-1,2,0,35,35
"L_hand2",100,0,0,1000,0,0,0,0,-0.04,-0.08,0,0,0,0,"LeftHandWidth","LeftHand",0,-1,-1,-1,2,0,36,36
"L_hand1_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"L_hand2_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"R_Shoulder_Prism",100,-0.25,0.25,1000,0,0,1,-0.021,0,0,0,0,0,"LeftShoulder",0,0,-1,0,0,36,3,0,0,44
"R_Shoulder",100,-3.14,3.14,1000,-1,0,0,0,0,0,0,1.5707963267949,0,0,0,0,0,0,0,37,3,1,0,45
"R_Shoulder_Quat1",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,1,0,46
"R_Shoulder_Quat2",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,1,0,47
"R_Shoulder_Quat3",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,1,0,57
"R_Elbow",100,-3.14,0.01,1000,1,0,0,0,0,-0.263,0,0,0,0,0,"LeftArm",0,0,-1,40,3,0,0,48
"R_Wrist_P",100,-0.5,0.5,1000,1,0,0,0,0,-0.25,0,0,0,0,0,"LeftForeArm",0,0,-1,41,3,0,0,49
"R_Wrist_R",100,-0.5,0.5,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,50
"R_Wrist_Y",100,-0.3,0.3,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,51
"R_hand1",100,0,0,1000,0,0,0,0,0.04,-0.08,0,0,0,0,"LeftHandWidth","LeftHand",0,0.8,-0.9,-1,3,0,52,52
"R_hand2",100,0,0,1000,0,0,0,0,-0.04,-0.08,0,0,0,0,"LeftHandWidth","LeftHand",0,-1,-1,-1,3,0,53,53
"R_hand1_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"R_hand2_end",100,-3.14,3.14,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1
"L_Hip",100,-3.14,3.14,1000,0,0,-1,0.09,0,0,0,0,0,"HipsLeftHorizontal",0,0,1,0,0,6,4,1,0,6
"L_Hip_Quat1",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,7
"L_Hip_Quat2",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,8
"L_Hip_Quat3",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,1,0,54
"L_Knee",100,0.01,3.14,1000,1,0,0,0,0,-0.3535,0,0,0,0,0,"LeftUpLeg",0,0,-1,9,4,0,0,9
"L_Ankle_P",100,-0.4,0.4,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,10
"L_Ankle_R",100,-0.4,0.4,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,11
"L_Ankle_Y",100,-0.7,0.7,1000,0,0,-1,0,0,-0.3,0,0,0,0,0,"LeftLeg",0,0,-1,12,4,0,0,12
"L_Foot_Pinky_P",100,-0.05,0.001,1000,1,0,0,0.7,-0.75,-0.15,0,0,0,"LeftFoot","LeftFoot","LeftFoot",0.275,-0.75,-0.4,13,4,0,0,13
"L_BigToe",100,0,0,1000,0,0,0,-0.55,-0.85,0,0,0,0,"LeftFoot","LeftFoot",0,-0.55,-0.25,0,-1,4,0,14,14
"L_Toe",100,-3.14,3.14,1000,0,0,0,0,-0.02,0,0,0,0,0,"LeftFoot",0,0,-0.2,0,-1,-1,0,0,-1
"R_Hip",100,-3.14,3.14,1000,0,0,1,-0.09,0,0,0,0,0,"HipsLeftHorizontal",0,0,-1,0,0,14,5,1,0,15
"R_Hip_Quat1",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,0,16
"R_Hip_Quat2",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,1,0,17
"R_Hip_Quat3",100,-3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,1,0,55
"R_Knee",100,0.01,3.14,1000,1,0,0,0,0,-0.3535,0,0,0,0,0,"LeftUpLeg",0,0,-1,17,5,0,0,18
"R_Ankle_P",100,-0.4,0.4,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,19
"R_Ankle_R",100,-0.4,0.4,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,20
"R_Ankle_Y",100,-0.7,0.7,1000,0,0,1,0,0,-0.3,0,0,0,0,0,"LeftLeg",0,0,-1,20,5,0,0,21
"R_Foot_Pinky_P",100,-0.05,0.001,1000,1,0,0,-0.55,-0.85,-0.15,0,0,0,"LeftFoot","LeftFoot","LeftFoot",-0.275,-0.75,-0.4,21,5,0,0,22
"R_BigToe",100,0,0,1000,0,0,0,-0.55,-0.85,0,0,0,0,"LeftFoot","LeftFoot",0,0.55,-0.25,0,-1,5,0,23,23
"R_Toe",100,-3.14,3.14,1000,0,0,0,0,-0.02,0,0,0,0,0,"LeftFoot",0,0,-0.2,0,-1,-1,0,0,-1
