ID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,DNI_Col,DHI_Col,GHI_Col,Comment
KZH,,University of KwaZulu-Natal Howard College,-29.87097931,30.97694969,150,UTC+02:00,Mazisi Kunene Road,Durban,KwaZulu-Natal,South Africa,,Roof of Desmond Clarence building,,Cfa,permanently offline,1M,,,,,,2015-12-01,,CHP1SlrW_Avg,CMP11_1SlrW_Avg,CMP11_2SlrW_Avg,
KZW,,University of KwaZulu-Natal Westville,-29.81694031,30.94491959,200,UTC+02:00,Umgeni Road,Pinetown,KwaZulu-Natal,South Africa,,Roof of Physics building,,Cfa,permanently offline,1M,,,,,,2015-12-01,2018-12-01,TrackerWM_Avg,ShadowWM_Avg,SunWM_Avg,
SUN,,Stellenbosch University,-33.92810059,18.86540031,119,UTC+02:00,Bosman,Stellenbosch Local Municipality,Western Cape,South Africa,,Roof of Engineering building,,Csa,permanently offline,1M,,,,,,2010-05-01,,TrackerWM_Avg,ShadowWM_Avg,SunWM_Avg,
UPR,,GIZ University of Pretoria,-25.75308037,28.22859001,1410,UTC+02:00,"23, Lynnwood Road",Pretoria,Gauteng,South Africa,,Roof of university building,,Cwa,,1M,,,,,,2013-09-01,,DNI_Avg,DIF_Avg,GHI_Avg,
VAN,,GIZ Vanrhynsdorp,-31.61747932,18.73834038,130,UTC+02:00,Vanrhynsdorp Water Tower,"Matzikama Local Municipality, Vanrhynsdorp",Western Cape,South Africa,,Inside enclosure on rural farmland,,BWk,permanently offline,1M,,,,,,2016-08-01,2019-07-01,DNI_Avg,DIF_Avg,GHI_Avg,
UFS,,GIZ University of Free State,-29.11074066,26.18502998,1491,UTC+02:00,Dekaan Street,Bloemfontein,Free State,South Africa,,Roof of Physics building,,BSk,permanently offline,1M,,,,,,2014-01-01,,DNI_Avg,DIF_Avg,GHI_Avg,
GRT,,GIZ Graaff-Reinet,-32.48546982,24.58581924,660,UTC+02:00,,Blue Crane Route Local Municipality,Eastern Cape,South Africa,,Inside enclosure on rural farmland,,BSh,permanently offline,1M,,,,,,2013-11-01,,DNI_Avg,DIF_Avg,GHI_Avg,
NMU,,Nelson Mandela University,-34.0085907,25.66526031,35,UTC+02:00,Mongoose Road,Port Elizabeth,Eastern Cape,South Africa,,Roof of Solar Outdoor Research Facility,,,permanently offline,1M,,,,,,2015-12-01,,CHP1SlrW_Avg,CMP11_1SlrW_Avg,CMP11_2SlrW_Avg,
RVD,,GIZ Richtersveld,-28.56084061,16.76145935,141,UTC+02:00,,Richtersveld Local Municipality,Northern Cape,South Africa,,Inside enclosure in desert region,,BWk,,1M,,,,,,2014-03-01,,DNI_Avg,DIF_Avg,GHI_Avg,
STA,,Mangosuthu University of Technology,-29.97020912,30.91490936,95,UTC+02:00,1708 Street,Umlazi,KwaZulu-Natal,South Africa,,Roof of lecture complex,,Cfa,permanently offline,1M,,,,,,2015-12-01,,MUT_DNI_NIP_31955E6_W_Avg,MUT_DHI_PSP_34332F3_W_Avg,MUT_GHI_PSP_34331F3_W_Avg,
