,Notation,Unit,History,Sectors,Sfc
ConsumptionHousehold,:math:`C(t)`,USD,0,Household,"[('Inflow', 'Production'), ('Outflow', 'Household')]"
ConsumptionGovernment,:math:`G(t)`,USD,0,Government,"[('Inflow', 'Production'), ('Outflow', 'Government')]"
NationalIncome,:math:`Y(t)`,USD,0,Macroeconomy,"[('Outflow', 'Production'), ('Inflow', 'Household')]"
InterestEarnedOnBillsHousehold,:math:`r(t-1)\cdot B_h(t-1)`,USD,0,Household,"[('Inflow', 'Household'), ('Outflow', 'Government')]"
CentralBankProfits,:math:`r(t-1)\cdot B_{CB}(t-1)`,USD,0,CentralBank,"[('Inflow', 'Government'), ('Outflow', 'CentralBank')]"
Taxes,:math:`T(t)`,USD,0,Household,"[('Outflow', 'Household'), ('Inflow', 'Government')]"
HouseholdMoneyStock,:math:`H_h(t)`,USD,0,Household,"[('Asset', 'Household')]"
CentralBankMoneyStock,:math:`H_{s}(t)`,USD,0,CentralBank,"[('Liability', ['CentralBank', 'Capital'])]"
HouseholdBillStock,:math:`B_h(t)`,USD,0,Household,"[('Asset', 'Household')]"
GovernmentBillStock,:math:`B_s(t)`,USD,0,Government,"[('Liability', 'Government')]"
CentralBankBillStock,:math:`B_{CB}(t)`,USD,0,CentralBank,"[('Asset', ['CentralBank', 'Capital'])]"
Wealth,:math:`V(t)`,USD,0,Household,"[('Liability', 'Household'), ('Asset', 'Government')]"
InterestRate,:math:`r(t)`,.,0,Macroeconomy,"[('Index', 'Macroeconomy')]"
DisposableIncome,:math:`YD(t)`,USD,0,Household,"[('Index', 'Household')]"
