,Notation,Unit,Value,Lower Bound,Upper Bound
PropensityToConsumeIncome,:math:`\alpha_1`,.,0.6,0.0,1.0
PropensityToConsumeSavings,:math:`\alpha_2`,.,0.4,0.0,1.0
TaxRate,:math:`\theta`,% per period,0.2,0.0,1.0
WealthShareBills_Constant,:math:`\lambda_0`,.,0.635,0.0,1.0
WealthShareBills_Income,:math:`\lambda_2`,.,0.01,0.0,1.0
WealthShareBills_InterestRate,:math:`\lambda_1`,.,5.0,0.0,10.0
