Factors,Extracellular exchange,Tyrosine metabolism,Cytochrome metabolism,Sphingolipid metabolism,Glutamate metabolism,Urea cycle,Arginine and proline metabolism,Glycolysis/gluconeogenesis,Eicosanoid metabolism,Starch and sucrose metabolism,Miscellaneous,ROS detoxification,Glycerophospholipid metabolism,Intracellular demand,Galactose metabolism,Fructose and mannose metabolism,Glutathione metabolism,Glyoxylate and dicarboxylate metabolism,Intracellular source/sink,Drug metabolism
healthy,273.20761851573366,478.20021115595404,0.018982377040288156,-439.04359689869403,-505.00894999851016,-505.00894998973473,-599.5780441741322,265.34089815506536,-310.06683893153775,-179.80000205985624,407.8878314308984,221.79791195927,-898.8642921909029,482.8212949187315,-436.0235449140456,-1.9069830159423873e-09,399.3919808352187,566.2560720705795,-340.9311533431179,563.232533875294
c,-455.01766091474775,-505.3654886175779,-1983.4946383278057,507.64131725489125,-576.788963095863,-576.7889630919333,-254.9393307502106,-535.2461036449286,-288.7674862079008,72.41164023889331,-252.66168450355926,-2.175664501645855,1097.0277216238253,-500.7444048578668,338.5378405206933,-7.663345513719833e-10,-466.49543184734785,-1412.9078159756616,273.99391173828127,-853.480546624532
c,-478.7098783317468,-504.7809556840621,-1983.114440429809,133.15128943657976,-503.48252293022574,-503.48252292319114,1320.7465554968371,-702.3577511750792,-277.96473648981464,114.15886976290075,-282.5086581404873,-1.9928019294511898,1098.4764064534186,-500.36420695774405,338.5378405206933,-7.663345513719833e-10,-466.1152339494987,-1432.4025105599012,503.6240373295269,-855.7703531782786
healthy,-8.603761518918821,-465.34880148241973,0.02766797943002075,-123.98352489864317,-522.4239121645926,-522.4239121662782,-216.34005029838826,-651.2841265181844,-304.66339380126715,-195.09793289591602,-255.4857730970437,-347.2532878513583,305.2196113974772,-459.21632356630363,-572.790875469892,-1.763737600413151e-09,-427.9901388621706,-1432.462207725124,-364.17779340469247,502.96896039968203
c,-482.8241553691473,-512.2051559135853,-1990.3930705597836,507.64131725489125,-578.6955507215914,-578.6955507172956,671.491662260527,-711.5720469047276,688.1613888394432,53.804204840818265,-287.3109249321545,-498.80429729231605,1098.6780730824448,-507.6428370886465,338.5378405206933,-7.663345513719833e-10,-473.39386407909564,-1432.4492245855677,326.3621927944764,-968.4373083360928
healthy,-14.507920873279033,251.48690471963747,0.023002561119596976,-387.47367539564556,-390.1430954069127,-390.1430954219529,-532.9845282497844,265.34089815506536,688.1613888394432,-165.9500406793509,147.84119165771975,-65.20818237009038,-893.3429974776725,142.7513352995603,-458.31915331126277,-7.647798838661402e-09,103.22059374452664,566.4607280881344,-349.9942432720172,-890.1743966696662
c,-472.5676107633644,-479.3560089187081,-1981.148550785112,507.64131725489125,-604.2054879735006,-604.2054879726591,654.75761067636,-716.4601309974112,608.0120047104623,44.61078597830117,-270.65286627566917,-343.85484216057336,1069.1865061448846,-475.53468726957664,338.5378405206933,-7.663345513719833e-10,-441.28571425679513,-1432.4034023257518,293.1041467761048,-933.5475737162077
healthy,168.2799088912306,478.20021115809186,-0.04355538312609042,507.64131725489125,-461.29825092083115,-461.29825092110605,654.0196326343729,-691.9957498495712,-304.3567394319583,90.87453923704058,213.073720420872,175.726241377737,1094.6261278117108,482.8212949187315,338.5378405206933,-7.663345513719833e-10,517.0702679289268,-1432.4095642091047,421.0972637741255,580.6424438240333
c,20.41592852777647,478.20021115809186,-1958.9010019709872,8.327910483972971,-529.84242150858,-529.8424215095797,660.2244311825798,-675.8724621825004,-308.458774400562,87.78066154168515,210.76723310181916,168.34311347703672,-898.5968195406512,482.8212949187315,338.5378405206933,-7.663345513719833e-10,517.0702679289268,-1432.2188958403026,421.3071950721969,480.7797315506259
healthy,159.39974199976544,478.20021115809186,-0.09691815724488606,-434.1695739780264,675.0797386381553,675.0797386606013,-584.6914253861117,265.34089815506536,688.1613888394432,-189.60176546420814,407.8878314308984,168.73532487870207,-893.8480209315858,482.8212949187315,-551.2059270076703,2.567617229942698e-09,378.55818877990293,564.0595756085927,-360.7948343035494,-853.8330464778442
