GROUP;inputs;inputs;inputs;inputs;inputs;inputs;outputs
VARIABLE;width;length;imposed_dplt;young_modulus;height;relative_dplt_location;reaction_forces
COMPONENT;0;0;0;0;0;0;0
0;29.49599373109432;581.3867646335378;-4.974780739551054;210575.60049845107;40.44793327177121;0.8994482588397894;-3574.7861109219766
1;30.014825288131014;610.051824121521;-5.1178652451930855;208854.15243325726;39.82643487035581;0.9014429549964356;-3046.541840341451
2;29.981342336711275;585.5628060088067;-5.248804305550397;216162.416003888;39.62810913102513;0.9087096030611932;-3512.739118300699
3;28.933197301603045;593.9928795277949;-5.090807208344806;212034.81731706494;40.14352530078118;0.8611153193605373;-3774.4104873082465
4;29.688770003982206;611.6534783400583;-4.973095039239329;207173.57860449958;39.39062713978036;0.9118928063721997;-2693.545449990489
5;30.278904351599234;592.7609564506936;-4.8229625241569245;215102.6231835571;38.34264371095015;0.9339728578411485;-2608.8216159593185
6;29.230627877321933;616.9464663068223;-5.024028646412599;202081.94369158818;40.80388231883315;0.8936702813455769;-3007.3767545982296
7;31.021677850895603;601.2911054288206;-5.032033701897646;205325.02437632444;41.42680232861833;0.8871911382296515;-3752.5719522563813
8;30.393744964499135;599.6821360321438;-4.90734647446518;208937.22194134933;39.06553067131952;0.9184961587132309;-2779.5377538912567
9;30.622218080821813;606.1301994340448;-4.9402883993252855;212998.40365336675;40.70650721009913;0.8811249669408535;-3566.8638666910397
