GROUP;inputs;inputs;inputs;inputs;inputs;outputs
VARIABLE;width;length;imposed_dplt;young_modulus;height;reaction_forces
COMPONENT;0;0;0;0;0;0
0;31.00155450325954;591.9849837405311;-5.248804305550397;210179.86244042256;40.18410187585964;-42788.363217016915
1;30.825453848879057;600.2562268373119;-4.91452105975006;205049.6597018904;39.59952530185299;-35675.464948802706
2;29.20110795719772;599.9046331465458;-5.120309949926611;202081.94369158818;41.16574755481007;-39052.105499336285
3;29.96980782958317;609.5933875173434;-5.039088590029909;207466.33475774276;40.37319383181658;-36408.44710757562
4;29.543377942780793;625.9437937129329;-4.8966098567600245;211756.79089428;39.27354233324155;-30265.454648318293
5;30.40090129376508;604.618892311424;-5.084001044817613;216537.10285470705;40.76816429880528;-41039.56354559812
6;28.933197301603045;584.6125575464387;-4.843967138646066;209671.80975419361;38.34264371095015;-33161.899172943224
7;30.17495512348633;614.9889979611077;-4.999021716341344;207821.39002787546;39.10952845263323;-32249.842104421125
8;29.78518884977278;581.3867646335378;-5.017797928030367;215333.14497903758;39.975123115615034;-41846.42949900101
9;30.14079913131897;594.8015093175009;-4.94500354066816;212391.56343771744;40.658402240593695;-40443.93105792361
