framework,version,device,op_name,node_num,kernel_source,hidden_size,num_token,num_topk,num_experts,dispatch_sms,dispatch_transmit_us,dispatch_notify_us,combine_sms,combine_transmit_us,combine_notify_us
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,1,8,256,20,37.28,0,20,48.36,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,2,8,256,20,37.44,0,20,49.63,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,4,8,256,20,35.86,0,20,51.26,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,8,8,256,20,37.19,0,20,51.55,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,12,8,256,20,37.19,0,20,53.92,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,16,8,256,20,37.26,0,20,54.28,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,24,8,256,20,37.97,0,20,56.92,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,32,8,256,20,33.9,0,20,60,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,48,8,256,20,34.81,0,20,62.69,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,64,8,256,20,38.96,0,20,68.24,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,96,8,256,20,45.36,0,20,77.43,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,128,8,256,20,49.79,0,20,85.34,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,160,8,256,20,53.87,0,20,93.95,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,256,8,256,20,65.28,0,20,120.97,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,512,8,256,20,97.22,0,20,190.48,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,1024,8,256,20,157.18,0,20,307.14,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,2048,8,256,20,271.87,0,20,528.69,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,4096,8,256,20,491.24,0,20,972.51,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,8192,8,256,20,965.62,0,20,1831.51,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,16384,8,256,20,1930.77,0,20,3513.27,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,32768,8,256,20,3871.29,0,20,6824.92,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,65536,8,256,20,7785.29,0,20,13675.82,0
sglang,0.5.0,NVIDIA H100,normal,1,deepep,7168,131072,8,256,20,15631.93,0,20,27215.11,0
sglang,0.5.0,NVIDIA H200,normal,2,deepep,7168,1,8,256,4,26.77,32.97,4,49.0,34.47
sglang,0.5.0,NVIDIA H200,normal,2,deepep,7168,1,8,256,8,27.93,35.17,8,50.17,36.03
