framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,8,16,0.008044800162315369
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,8,8,0.003843199834227562
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,8,8,0.007526399940252304
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,8,4,0.004108799993991852
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,4,1,0.003852799907326698
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,8,4,0.00727040022611618
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,8,2,0.0039391998201608654
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,8,2,0.007103999704122543
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,8,1,0.003868800029158592
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,8,1,0.007305599749088287
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,128,0.005955199897289276
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,64,0.004873599857091904
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,32,0.004428799822926521
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,16,0.004662400111556053
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,8,0.00411520004272461
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,128,0.011488000303506852
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,8,0.007513599842786789
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,4,0.006438399851322174
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,4,0.007289600372314453
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,64,0.009446399658918381
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,2,0.004169600084424019
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,2,0.00735040009021759
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,32,0.008297599852085114
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,16,1,0.003913599997758865
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,16,0.007552000135183335
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,16,1,0.007161600142717361
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,128,0.006179200112819671
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,128,0.014748799800872802
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,64,0.00525440014898777
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,64,0.011260800063610077
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,4,0.005478399991989136
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,32,0.004521600157022476
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,32,0.00915839970111847
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,16,0.004303999990224838
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,16,0.008262400329113007
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,8,0.003888000175356865
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,8,0.007913599908351897
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,4,0.007708799839019775
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,2,0.004198399931192398
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,2,0.0074143998324871065
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,32,1,0.0038463998585939406
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,32,1,0.007356800138950348
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,128,0.0068351998925209045
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,16,0.004131200164556504
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,128,0.01809920072555542
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,64,0.005446400120854377
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,64,0.012928000092506409
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,32,0.0046847999095916745
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,32,0.010172799974679948
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,16,0.00883840024471283
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,8,0.0039935998618602754
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,8,0.007744000107049942
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,4,0.003824000060558319
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,4,0.0076223999261856076
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,2,0.004896000027656555
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,128,0.021692800521850585
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,2,0.0077344000339508055
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,48,1,0.003779200091958046
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,48,1,0.007311999797821045
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,128,0.007379200309514999
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,64,0.005740800127387047
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,32,0.004732799902558327
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,64,0.014713600277900696
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,4,0.0038975998759269714
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,32,0.011104000359773636
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,16,0.004153599962592125
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,16,0.008873599767684936
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,1,0.0035999998450279235
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,8,0.003999999910593033
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,8,0.008153600245714187
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,4,0.007711999863386154
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,64,2,0.003667199984192848
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,2,0.007744000107049942
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,64,1,0.007711999863386154
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,128,0.007948800176382064
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,128,0.025142401456832886
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,64,0.006044799834489823
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,64,0.016553600132465363
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,32,0.0048640001565217975
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,32,0.011932799965143204
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,16,0.004521600157022476
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,16,0.009443199634552002
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,8,0.0040640000253915785
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,8,0.008636800199747085
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,4,0.004134399816393852
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,4,0.007974400371313094
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,2,0.005615999922156334
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,2,0.007820799946784973
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,80,1,0.003804799914360046
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,80,1,0.007609599828720092
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,128,0.00862400010228157
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,128,0.028940799832344054
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,64,0.006313599646091461
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,64,0.01799360066652298
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,32,0.005142400041222572
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,32,0.01265919953584671
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,16,0.0054303999990224835
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,2,0.007779199630022049
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,1,0.0037983998656272886
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,16,0.00992320030927658
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,8,0.0041184000670909885
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,8,0.008320000022649765
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,64,0.007187200337648391
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,4,0.004198399931192398
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,4,0.007923199981451034
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,96,2,0.003958399966359138
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,96,1,0.007468800246715546
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,128,0.010118400305509567
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,128,0.035648000240325925
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,32,0.005436800047755241
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,64,0.021404799818992615
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,32,0.014480000734329224
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,16,0.004550400003790855
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,16,0.010790400207042694
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,8,0.0042720001190900804
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,1,0.007631999999284744
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,8,0.008995199948549271
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,4,0.003868800029158592
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,4,0.00817599967122078
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,2,0.004108799993991852
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,128,2,0.007583999633789062
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,128,1,0.0038111999630928038
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,128,0.011935999989509583
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,128,0.042966398596763614
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,64,0.007753600180149078
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,64,0.025145599246025087
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,32,0.005750399827957153
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,32,0.016102400422096253
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,16,0.0047775998711586
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,16,0.011670400202274323
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,8,0.004316800087690353
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,8,0.009737599641084671
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,4,0.004057599976658821
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,4,0.008211199939250947
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,2,0.004121600091457367
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,2,0.007884799689054488
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,32,0.0067391999065876005
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,160,1,0.004252799972891808
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,160,1,0.0077632002532482145
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,128,0.017292800545692443
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,128,0.05252159833908081
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,64,0.008022399991750718
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,64,0.02834239900112152
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,16,0.004860800132155419
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,32,0.017548799514770508
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,16,0.012412799894809723
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,8,0.004470400139689445
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,8,0.009945599734783173
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,4,0.004163200035691261
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,4,0.008511999994516373
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,2,0.004598399996757508
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,2,0.007900799810886382
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,192,1,0.004163200035691261
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,64,0.03495360016822815
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,192,1,0.007561600208282471
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,128,0.021849599480628968
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,128,0.0682911992073059
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,64,0.009536000341176987
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,32,0.00692799985408783
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,32,0.021356800198554994
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,16,0.005382400006055832
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,16,0.014502400159835815
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,8,0.00533440001308918
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,1,0.0038015998899936674
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,8,0.010889600217342376
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,1,0.00783040001988411
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,128,0.02369280010461807
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,4,0.004076800122857094
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,4,0.008787199854850769
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,256,2,0.004041599854826927
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,256,2,0.00817599967122078
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,64,0.011740799993276596
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,128,0.08284800052642823
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,16,0.016153599321842193
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,64,0.04429439902305603
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,32,0.0071712002158164975
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,32,0.024611200392246246
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,16,0.005689600110054016
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,8,0.00483199991285801
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,8,0.011737599968910217
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,4,0.0042559999972581865
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,4,0.009523200243711472
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,2,0.004041599854826927
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,2,0.0084927998483181
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,320,1,0.00414079986512661
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,320,1,0.008032000064849854
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,128,0.027004799246788024
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,128,0.09948480129241943
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,64,0.013900800049304963
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,64,0.052121597528457644
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,32,0.008403199911117553
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,32,0.028476798534393312
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,16,0.006080000102519989
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,16,0.017811200022697447
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,8,0.004790399968624115
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,8,0.012454400211572647
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,4,0.004239999875426293
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,4,0.009913600236177444
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,2,0.004182400181889534
