framework,version,device,op_name,node_num,kernel_source,hidden_size,num_token,num_topk,num_experts,combine_avg_t_us,combine_bandwidth_gbps,dispatch_avg_t_us,dispatch_bandwidth_gbps
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,1,8,256,12.1988,1.9325,16.28,0.7375
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,2,8,256,13.28,8.685,15.4287,3.8425
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,4,8,256,14.0538,23.7488,15.75,10.9413
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,8,8,256,14.37,54.1812,16.05,25.06
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,12,8,256,16.0337,77.1475,16.7587,38.1813
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,16,8,256,18.28,92.7088,17.6313,49.85
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,24,8,256,21.6438,120.7875,19.5138,69.215
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,32,8,256,24.6375,143.1675,20.4988,88.925
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,48,8,256,33.4325,160.4013,24.78,111.8625
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,64,8,256,40.9138,175.98,27.8425,133.6913
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,96,8,256,55.9938,194.0987,33.38,168.2813
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,128,8,256,72.3825,200.855,39.8287,188.685
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,160,8,256,90.365,201.5113,47.2075,199.3863
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,256,8,256,136.08,213.3,67.0212,225.3025
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,512,8,256,269.2775,217.6125,122.6425,247.1363
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,1024,8,256,526.8137,222.7787,236.8837,256.8888
sglang,0.5.0,NVIDIA H200,ll,1,deepep,7168,2048,8,256,1033.1175,227.3425,457.185,265.9375
sglang,0.5.0,NVIDIA H200,ll,2,deepep,7168,2,8,256,25.9,4.43,22.57,2.63
sglang,0.5.0,NVIDIA H200,ll,2,deepep,7168,2,8,288,27.23,4.21,21.93,2.7
