framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,uniform,0.16546560525894166
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,uniform,0.24702079296112062
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,uniform,0.43678722381591795
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,uniform,0.8003359794616699
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,uniform,0.8007519721984864
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,4,uniform,0.8
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,4,uniform,0.798041582107544
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,512,7168,2048,8,256,1,4,uniform,0.8004032135009765
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_0.6,0.43596672058105473
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_0.8,0.40596736907958986
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_1.01,0.19101312637329101
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_1.02,0.19544511795043945
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,power_law_1.2,0.15561023712158203
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_0.6,0.2335103988647461
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_0.8,0.23116672515869138
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_1.01,0.24366464614868164
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_1.02,0.2229324722290039
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,uniform,0.19867520332336425
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,uniform,0.28850560188293456
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,uniform,0.46826558113098143
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,2,uniform,0.8334527969360351
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,4,power_law_1.2,0.23695680618286136
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,uniform,1.579535961151123
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,2,uniform,1.5822751998901368
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_0.6,0.37259265899658206
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,2,uniform,1.5821599960327148
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,2,uniform,1.580281639099121
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_0.8,0.35455486297607425
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.6,0.27999999999999997
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_1.01,0.3134022331237793
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.8,0.2808953666687012
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_1.02,0.3588921737670899
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.01,0.28050367355346684
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,4,power_law_1.2,0.30628032684326173
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.02,0.2796089553833008
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_0.6,0.5361868667602538
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.2,0.245731201171875
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_0.8,0.5085830307006836
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_0.6,0.4677683258056641
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_1.01,0.44880702972412106
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_0.8,0.4681248092651368
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_1.02,0.4060089492797852
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_1.01,0.3079443168640137
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,4,power_law_1.2,0.3710060882568359
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_1.02,0.24277376174926757
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_1.2,0.20572608947753906
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_0.6,0.6790988922119141
SGLang,0.5.6.post2,NVIDIA H200 NVL,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,power_law_0.6,0.37728382110595704
