name,power,weight,CO2eq_per_kg
CARRIER 30RBP270R, 270, 1550,18.7
CARRIER 30RBP270R, 500, 4300,19.8
CARRIER 30KAV 500, 493, 4650,10.5
CARRIER 30KAV 800, 791, 5811,13.6
CARRIER 30KAV-ZE 350, 372, 4640,10.7
