type,wh_per_kg,CO2_per_kg
VRLA,45,2.33
LFP,109,16.1
LFP,83,14
LTO,52,14.2
LMO,116,13.8
NCM,130,14.1
NCM,139,16.1
NCA,133,15.4
NaNiCl,112,13
VRFB,17,3.2
