;name;description;unit;category;material_relation;default_value;distribution
0;E1;;none;Undefined;DefaultMaterialRelation;100000.0;Undefined
1;E2;;none;Undefined;DefaultMaterialRelation;8000.0;Undefined
2;E3;;none;Undefined;DefaultMaterialRelation;7000.0;Undefined
3;G12;;none;Undefined;DefaultMaterialRelation;5000.0;Undefined
4;G13;;none;Undefined;DefaultMaterialRelation;4000.0;Undefined
5;G23;;none;Undefined;DefaultMaterialRelation;3000.0;Undefined
6;nu;;none;Undefined;DefaultMaterialRelation;0.3;Undefined
7;Xt;;none;Undefined;DefaultMaterialRelation;1000.0;Undefined
8;Xc;;none;Undefined;DefaultMaterialRelation;-1500.0;Undefined
9;Yt;;none;Undefined;DefaultMaterialRelation;50.0;Undefined
10;Yc;;none;Undefined;DefaultMaterialRelation;-200.0;Undefined
11;Zt;;none;Undefined;DefaultMaterialRelation;70.0;Undefined
12;Zc;;none;Undefined;DefaultMaterialRelation;-250.0;Undefined
13;S12;;none;Undefined;DefaultMaterialRelation;50.0;Undefined
14;S13;;none;Undefined;DefaultMaterialRelation;60.0;Undefined
15;S23;;none;Undefined;DefaultMaterialRelation;70.0;Undefined
