hcc,is_chronic,model_version,model_domain
HCC1,Y,V21,CMS-HCC ESRD
HCC2,,V21,CMS-HCC ESRD
HCC3,,V21,CMS-HCC ESRD
HCC4,,V21,CMS-HCC ESRD
HCC5,,V21,CMS-HCC ESRD
HCC6,,V21,CMS-HCC ESRD
HCC7,,V21,CMS-HCC ESRD
HCC8,Y,V21,CMS-HCC ESRD
HCC9,Y,V21,CMS-HCC ESRD
HCC10,Y,V21,CMS-HCC ESRD
HCC11,Y,V21,CMS-HCC ESRD
HCC12,Y,V21,CMS-HCC ESRD
HCC13,,V21,CMS-HCC ESRD
HCC14,,V21,CMS-HCC ESRD
HCC15,,V21,CMS-HCC ESRD
HCC16,,V21,CMS-HCC ESRD
HCC17,Y,V21,CMS-HCC ESRD
HCC18,Y,V21,CMS-HCC ESRD
HCC19,Y,V21,CMS-HCC ESRD
HCC20,Y,V21,CMS-HCC ESRD
HCC21,,V21,CMS-HCC ESRD
HCC22,Y,V21,CMS-HCC ESRD
HCC23,Y,V21,CMS-HCC ESRD
HCC24,,V21,CMS-HCC ESRD
HCC25,Y,V21,CMS-HCC ESRD
HCC26,Y,V21,CMS-HCC ESRD
HCC27,Y,V21,CMS-HCC ESRD
HCC28,Y,V21,CMS-HCC ESRD
HCC29,Y,V21,CMS-HCC ESRD
HCC30,,V21,CMS-HCC ESRD
HCC31,Y,V21,CMS-HCC ESRD
HCC32,,V21,CMS-HCC ESRD
HCC33,,V21,CMS-HCC ESRD
HCC34,Y,V21,CMS-HCC ESRD
HCC35,Y,V21,CMS-HCC ESRD
HCC36,,V21,CMS-HCC ESRD
HCC37,,V21,CMS-HCC ESRD
HCC38,,V21,CMS-HCC ESRD
HCC39,,V21,CMS-HCC ESRD
HCC40,Y,V21,CMS-HCC ESRD
HCC41,Y,V21,CMS-HCC ESRD
HCC42,Y,V21,CMS-HCC ESRD
HCC43,Y,V21,CMS-HCC ESRD
HCC44,Y,V21,CMS-HCC ESRD
HCC45,,V21,CMS-HCC ESRD
HCC46,Y,V21,CMS-HCC ESRD
HCC47,Y,V21,CMS-HCC ESRD
HCC48,Y,V21,CMS-HCC ESRD
HCC49,,V21,CMS-HCC ESRD
HCC50,,V21,CMS-HCC ESRD
HCC51,Y,V21,CMS-HCC ESRD
HCC52,Y,V21,CMS-HCC ESRD
HCC53,Y,V21,CMS-HCC ESRD
HCC54,Y,V21,CMS-HCC ESRD
HCC55,Y,V21,CMS-HCC ESRD
