,tiles
0,OpenStreetMap.Mapnik
1,OpenStreetMap.DE
2,OpenStreetMap.CH
3,OpenStreetMap.France
4,OpenStreetMap.HOT
5,OpenStreetMap.BZH
6,OpenStreetMap.CAT
7,MapTilesAPI.OSMEnglish
8,MapTilesAPI.OSMFrancais
9,MapTilesAPI.OSMEspagnol
10,OPNVKarte
11,OpenTopoMap
12,Stadia.AlidadeSmooth
13,Stadia.AlidadeSmoothDark
14,Stadia.AlidadeSatellite
15,Stadia.OSMBright
16,Stadia.Outdoors
17,Stadia.StamenToner
18,Stadia.StamenTonerBackground
19,Stadia.StamenTonerLite
20,Stadia.StamenWatercolor
21,Stadia.StamenTerrain
22,Stadia.StamenTerrainBackground
23,Thunderforest.OpenCycleMap
24,Thunderforest.Transport
25,Thunderforest.TransportDark
26,Thunderforest.SpinalMap
27,Thunderforest.Landscape
28,Thunderforest.Outdoors
29,Thunderforest.Pioneer
30,Thunderforest.MobileAtlas
31,Thunderforest.Neighbourhood
32,BaseMapDE.Color
33,BaseMapDE.Grey
34,CyclOSM
35,Jawg.Streets
36,Jawg.Terrain
37,Jawg.Lagoon
38,Jawg.Sunny
39,Jawg.Dark
40,Jawg.Light
41,Jawg.Matrix
42,TomTom.Basic
43,TomTom.Hybrid
44,TomTom.Labels
45,Esri.WorldStreetMap
46,Esri.WorldTopoMap
47,Esri.WorldImagery
48,Esri.WorldTerrain
49,Esri.WorldShadedRelief
50,Esri.WorldPhysical
51,Esri.OceanBasemap
52,Esri.NatGeoWorldMap
53,Esri.WorldGrayCanvas
54,FreeMapSK
55,MtbMap
56,CartoDB.Positron
57,CartoDB.PositronNoLabels
58,CartoDB.PositronOnlyLabels
59,CartoDB.DarkMatter
60,CartoDB.DarkMatterNoLabels
61,CartoDB.DarkMatterOnlyLabels
62,CartoDB.Voyager
63,CartoDB.VoyagerNoLabels
64,CartoDB.VoyagerOnlyLabels
65,CartoDB.VoyagerLabelsUnder
66,HikeBike.HikeBike
67,HikeBike.HillShading
68,BasemapAT.basemap
69,BasemapAT.grau
70,BasemapAT.overlay
71,BasemapAT.terrain
72,BasemapAT.surface
73,BasemapAT.highdpi
74,BasemapAT.orthofoto
75,nlmaps.standaard
76,nlmaps.pastel
77,nlmaps.grijs
78,nlmaps.water
79,nlmaps.luchtfoto
80,NASAGIBS.ModisTerraTrueColorCR
81,NASAGIBS.ModisTerraBands367CR
82,NASAGIBS.ViirsEarthAtNight2012
83,NLS.osgb63k1885
84,NLS.osgb1888
85,NLS.osgb10k1888
86,NLS.osgb1919
87,NLS.osgb25k1937
88,NLS.osgb63k1955
89,NLS.oslondon1k1893
90,GeoportailFrance.plan
91,GeoportailFrance.parcels
92,GeoportailFrance.orthos
93,OneMapSG.Default
94,OneMapSG.Night
95,OneMapSG.Original
96,OneMapSG.Grey
97,OneMapSG.LandLot
98,USGS.USTopo
99,USGS.USImagery
100,USGS.USImageryTopo
101,AzureMaps.MicrosoftImagery
102,AzureMaps.MicrosoftBaseDarkGrey
103,AzureMaps.MicrosoftBaseRoad
104,AzureMaps.MicrosoftBaseHybridRoad
105,AzureMaps.MicrosoftTerraMain
106,AzureMaps.MicrosoftWeatherInfraredMain
107,AzureMaps.MicrosoftWeatherRadarMain
108,SwissFederalGeoportal.NationalMapColor
109,SwissFederalGeoportal.NationalMapGrey
110,SwissFederalGeoportal.SWISSIMAGE
111,TopPlusOpen.Color
112,TopPlusOpen.Grey
113,OpenSeaMap
114,OpenRailwayMap
115,OpenFireMap
116,SafeCast
117,Stadia.StamenTonerLines
118,Stadia.StamenTonerLabels
119,Stadia.StamenTerrainLabels
120,Stadia.StamenTerrainLines
121,OpenWeatherMap.Clouds
122,OpenWeatherMap.Pressure
123,OpenWeatherMap.Wind
124,NASAGIBS.ModisTerraLSTDay
125,NASAGIBS.ModisTerraSnowCover
126,NASAGIBS.ModisTerraAOD
127,NASAGIBS.ModisTerraChlorophyll
128,JusticeMap.income
129,JusticeMap.americanIndian
130,JusticeMap.asian
131,JusticeMap.black
132,JusticeMap.hispanic
133,JusticeMap.multi
134,JusticeMap.nonWhite
135,JusticeMap.white
136,JusticeMap.plurality
137,WaymarkedTrails.hiking
138,WaymarkedTrails.cycling
139,WaymarkedTrails.mtb
140,WaymarkedTrails.slopes
141,WaymarkedTrails.riding
142,WaymarkedTrails.skating
143,OpenAIP
144,OpenSnowMap.pistes
