Based on ECC fit measurements to calibration runs xxxx to yyyy provided by O Limousin. From ELUT_ECC_para_xxx_yyyy.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4.00 keV,ADC Edge 1 - 5.00 keV,ADC Edge 2 - 6.00 keV,ADC Edge 3 - 7.00 keV,ADC Edge 4 - 8.00 keV,ADC Edge 5 - 9.00 keV,ADC Edge 6 - 10.00 keV,ADC Edge 7 - 11.00 keV,ADC Edge 8 - 12.00 keV,ADC Edge 9 - 13.00 keV,ADC Edge 10 - 14.00 keV,ADC Edge 11 - 15.00 keV,ADC Edge 12 - 16.00 keV,ADC Edge 13 - 18.00 keV,ADC Edge 14 - 20.00 keV,ADC Edge 15 - 22.00 keV,ADC Edge 16 - 25.00 keV,ADC Edge 17 - 28.00 keV,ADC Edge 18 - 32.00 keV,ADC Edge 19 - 36.00 keV,ADC Edge 20 - 40.00 keV,ADC Edge 21 - 45.00 keV,ADC Edge 22 - 50.00 keV,ADC Edge 23 - 56.00 keV,ADC Edge 24 - 63.00 keV,ADC Edge 25 - 70.00 keV,ADC Edge 26 - 76.00 keV,ADC Edge 27 - 84.00 keV,ADC Edge 28 - 100.00 keV,ADC Edge 29 - 120.00 keV,ADC Edge 30 - 150.00 keV
 897.7778, 0.110547,0,0,934,943,952,961,970,979,988,997,1006,1015,1024,1033,1043,1061,1079,1097,1124,1151,1187,1223,1260,1305,1350,1404,1468,1531,1585,1658,1802,1983,2255
 898.5185, 0.110132,1,0,935,944,953,962,971,980,989,998,1007,1017,1026,1035,1044,1062,1080,1098,1126,1153,1189,1225,1262,1307,1353,1407,1471,1534,1589,1661,1807,1988,2261
 897.0370, 0.110204,2,0,933,942,951,961,970,979,988,997,1006,1015,1024,1033,1042,1060,1079,1097,1124,1151,1187,1224,1260,1305,1351,1405,1469,1532,1587,1659,1804,1986,2258
 898.5185, 0.111111,3,0,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1061,1079,1097,1124,1151,1187,1223,1259,1304,1349,1403,1466,1529,1583,1655,1799,1979,2249
 890.3704, 0.110783,4,0,926,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1053,1071,1089,1116,1143,1179,1215,1251,1297,1342,1396,1459,1522,1576,1649,1793,1974,2244
 901.4815, 0.111663,5,0,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1063,1081,1099,1125,1152,1188,1224,1260,1304,1349,1403,1466,1528,1582,1654,1797,1976,2245
 897.0370, 0.109329,6,0,934,943,952,961,970,979,989,998,1007,1016,1025,1034,1043,1062,1080,1098,1126,1153,1190,1226,1263,1309,1354,1409,1473,1537,1592,1665,1812,1995,2269
 889.6296, 0.110493,7,0,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1053,1071,1089,1116,1143,1179,1215,1252,1297,1342,1396,1460,1523,1577,1650,1795,1976,2247
 891.8518, 0.110078,8,0,928,937,946,955,965,974,983,992,1001,1010,1019,1028,1037,1055,1074,1092,1119,1146,1183,1219,1255,1301,1346,1401,1464,1528,1582,1655,1800,1982,2255
 901.4815, 0.110078,9,0,938,947,956,965,974,983,992,1001,1010,1020,1029,1038,1047,1065,1083,1101,1129,1156,1192,1229,1265,1310,1356,1410,1474,1537,1592,1665,1810,1992,2264
 900.7407, 0.110132,10,0,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1046,1064,1082,1101,1128,1155,1191,1228,1264,1309,1355,1409,1473,1536,1591,1663,1809,1990,2263
 886.6667, 0.110892,11,0,923,932,941,950,959,968,977,986,995,1004,1013,1022,1031,1049,1067,1085,1112,1139,1175,1211,1247,1292,1338,1392,1455,1518,1572,1644,1788,1969,2239
 878.5185, 0.108941,0,1,915,924,934,943,952,961,970,979,989,998,1007,1016,1025,1044,1062,1080,1108,1136,1172,1209,1246,1292,1337,1393,1457,1521,1576,1650,1796,1980,2255
 892.5926, 0.110402,1,1,929,938,947,956,965,974,983,992,1001,1010,1019,1028,1038,1056,1074,1092,1119,1146,1182,1219,1255,1300,1345,1400,1463,1527,1581,1653,1798,1980,2251
 891.1111, 0.110150,2,1,927,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1055,1073,1091,1118,1145,1182,1218,1254,1300,1345,1400,1463,1527,1581,1654,1799,1981,2253
 888.1482, 0.109153,3,1,925,934,943,952,961,971,980,989,998,1007,1016,1026,1035,1053,1071,1090,1117,1145,1181,1218,1255,1300,1346,1401,1465,1529,1584,1658,1804,1988,2262
 877.0370, 0.109064,4,1,914,923,932,941,950,960,969,978,987,996,1005,1015,1024,1042,1060,1079,1106,1134,1170,1207,1244,1290,1335,1390,1455,1519,1574,1647,1794,1977,2252
 890.3704, 0.109241,5,1,927,936,945,954,964,973,982,991,1000,1009,1019,1028,1037,1055,1073,1092,1119,1147,1183,1220,1257,1302,1348,1403,1467,1531,1586,1659,1806,1989,2263
 900.7407, 0.110078,6,1,937,946,955,964,973,983,992,1001,1010,1019,1028,1037,1046,1064,1082,1101,1128,1155,1191,1228,1264,1310,1355,1409,1473,1537,1591,1664,1809,1991,2263
 887.4074, 0.109294,7,1,924,933,942,951,961,970,979,988,997,1006,1016,1025,1034,1052,1070,1089,1116,1144,1180,1217,1253,1299,1345,1400,1464,1528,1583,1656,1802,1985,2260
 882.2222, 0.108469,8,1,919,928,938,947,956,965,974,984,993,1002,1011,1021,1030,1048,1067,1085,1113,1140,1177,1214,1251,1297,1343,1399,1463,1528,1583,1657,1804,1989,2265
 880.7407, 0.109935,9,1,917,926,935,944,954,963,972,981,990,999,1008,1017,1026,1044,1063,1081,1108,1135,1172,1208,1245,1290,1336,1390,1454,1517,1572,1645,1790,1972,2245
 892.5926, 0.109507,10,1,929,938,947,957,966,975,984,993,1002,1011,1020,1030,1039,1057,1075,1093,1121,1148,1185,1221,1258,1304,1349,1404,1468,1532,1587,1660,1806,1988,2262
 889.6296, 0.110493,11,1,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1053,1071,1089,1116,1143,1179,1215,1252,1297,1342,1396,1460,1523,1577,1650,1795,1976,2247
 896.2963, 0.108783,0,2,933,942,951,961,970,979,988,997,1007,1016,1025,1034,1043,1062,1080,1099,1126,1154,1190,1227,1264,1310,1356,1411,1475,1540,1595,1668,1816,1999,2275
 891.1111, 0.108591,1,2,928,937,946,956,965,974,983,992,1002,1011,1020,1029,1038,1057,1075,1094,1121,1149,1186,1223,1259,1306,1352,1407,1471,1536,1591,1665,1812,1996,2272
 895.5555, 0.109347,2,2,932,941,950,960,969,978,987,996,1005,1014,1024,1033,1042,1060,1078,1097,1124,1152,1188,1225,1261,1307,1353,1408,1472,1536,1591,1664,1810,1993,2267
 897.0370, 0.108626,3,2,934,943,952,961,971,980,989,998,1008,1017,1026,1035,1044,1063,1081,1100,1127,1155,1192,1228,1265,1311,1357,1413,1477,1541,1597,1670,1818,2002,2278
 896.2963, 0.107862,4,2,933,943,952,961,970,980,989,998,1008,1017,1026,1035,1045,1063,1082,1100,1128,1156,1193,1230,1267,1313,1360,1415,1480,1545,1601,1675,1823,2009,2287
 904.4445, 0.108626,5,2,941,950,960,969,978,987,997,1006,1015,1024,1033,1043,1052,1070,1089,1107,1135,1162,1199,1236,1273,1319,1365,1420,1484,1549,1604,1678,1825,2009,2285
 891.8518, 0.108156,6,2,929,938,947,957,966,975,984,994,1003,1012,1021,1031,1040,1058,1077,1095,1123,1151,1188,1225,1262,1308,1354,1410,1474,1539,1595,1669,1816,2001,2279
 900.7407, 0.108382,7,2,938,947,956,965,975,984,993,1002,1011,1021,1030,1039,1048,1067,1085,1104,1131,1159,1196,1233,1270,1316,1362,1417,1482,1547,1602,1676,1823,2008,2285
 885.1852, 0.108434,8,2,922,931,941,950,959,968,977,987,996,1005,1014,1024,1033,1051,1070,1088,1116,1143,1180,1217,1254,1300,1346,1402,1466,1531,1586,1660,1807,1992,2269
 877.0370, 0.106888,9,2,914,924,933,943,952,961,971,980,989,999,1008,1017,1027,1045,1064,1083,1111,1139,1176,1214,1251,1298,1345,1401,1466,1532,1588,1663,1813,2000,2280
 896.2963, 0.107983,10,2,933,943,952,961,970,980,989,998,1007,1017,1026,1035,1044,1063,1082,1100,1128,1156,1193,1230,1267,1313,1359,1415,1480,1545,1600,1674,1822,2008,2285
 902.9630, 0.108521,11,2,940,949,958,967,977,986,995,1004,1014,1023,1032,1041,1050,1069,1087,1106,1133,1161,1198,1235,1272,1318,1364,1419,1483,1548,1603,1677,1824,2009,2285
 874.0740, 0.108766,0,3,911,920,929,938,948,957,966,975,984,994,1003,1012,1021,1040,1058,1076,1104,1132,1168,1205,1242,1288,1334,1389,1453,1518,1573,1646,1793,1977,2253
 874.0740, 0.108312,1,3,911,920,929,939,948,957,966,976,985,994,1003,1013,1022,1040,1059,1077,1105,1133,1170,1206,1243,1290,1336,1391,1456,1520,1576,1650,1797,1982,2259
 887.4074, 0.108696,2,3,924,933,943,952,961,970,979,989,998,1007,1016,1025,1035,1053,1071,1090,1117,1145,1182,1219,1255,1301,1347,1403,1467,1531,1587,1660,1807,1991,2267
 886.6667, 0.109347,3,3,923,932,942,951,960,969,978,987,996,1006,1015,1024,1033,1051,1070,1088,1115,1143,1179,1216,1252,1298,1344,1399,1463,1527,1582,1655,1801,1984,2258
 879.2593, 0.107707,4,3,916,926,935,944,954,963,972,981,991,1000,1009,1019,1028,1046,1065,1084,1111,1139,1176,1213,1251,1297,1343,1399,1464,1529,1585,1659,1808,1993,2272
 895.5555, 0.109347,5,3,932,941,950,960,969,978,987,996,1005,1014,1024,1033,1042,1060,1078,1097,1124,1152,1188,1225,1261,1307,1353,1408,1472,1536,1591,1664,1810,1993,2267
 881.4815, 0.108538,6,3,918,928,937,946,955,964,974,983,992,1001,1010,1020,1029,1047,1066,1084,1112,1139,1176,1213,1250,1296,1342,1397,1462,1526,1582,1655,1803,1987,2263
 882.2222, 0.108818,7,3,919,928,937,947,956,965,974,983,992,1002,1011,1020,1029,1048,1066,1084,1112,1140,1176,1213,1250,1296,1342,1397,1461,1525,1581,1654,1801,1985,2261
 871.8518, 0.107931,8,3,909,918,927,937,946,955,965,974,983,992,1002,1011,1020,1039,1057,1076,1103,1131,1168,1205,1242,1289,1335,1391,1456,1520,1576,1650,1798,1984,2262
