Based on ECC fit measurements to calibration runs xxxx to yyyy provided by O Limousin. From ELUT_ECC_para_xxx_yyyy.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4.00 keV,ADC Edge 1 - 5.00 keV,ADC Edge 2 - 6.00 keV,ADC Edge 3 - 7.00 keV,ADC Edge 4 - 8.00 keV,ADC Edge 5 - 9.00 keV,ADC Edge 6 - 10.00 keV,ADC Edge 7 - 11.00 keV,ADC Edge 8 - 12.00 keV,ADC Edge 9 - 13.00 keV,ADC Edge 10 - 14.00 keV,ADC Edge 11 - 15.00 keV,ADC Edge 12 - 16.00 keV,ADC Edge 13 - 18.00 keV,ADC Edge 14 - 20.00 keV,ADC Edge 15 - 22.00 keV,ADC Edge 16 - 25.00 keV,ADC Edge 17 - 28.00 keV,ADC Edge 18 - 32.00 keV,ADC Edge 19 - 36.00 keV,ADC Edge 20 - 40.00 keV,ADC Edge 21 - 45.00 keV,ADC Edge 22 - 50.00 keV,ADC Edge 23 - 56.00 keV,ADC Edge 24 - 63.00 keV,ADC Edge 25 - 70.00 keV,ADC Edge 26 - 76.00 keV,ADC Edge 27 - 84.00 keV,ADC Edge 28 - 100.00 keV,ADC Edge 29 - 120.00 keV,ADC Edge 30 - 150.00 keV
 878.5185, 0.107194,9,3,916,925,934,944,953,962,972,981,990,1000,1009,1018,1028,1046,1065,1084,1112,1140,1177,1214,1252,1298,1345,1401,1466,1532,1588,1662,1811,1998,2278
 888.1482, 0.108052,10,3,925,934,944,953,962,971,981,990,999,1008,1018,1027,1036,1055,1073,1092,1120,1147,1184,1221,1258,1305,1351,1406,1471,1536,1592,1666,1814,1999,2276
 871.8518, 0.109223,11,3,908,918,927,936,945,954,963,973,982,991,1000,1009,1018,1037,1055,1073,1101,1128,1165,1201,1238,1284,1330,1385,1449,1513,1568,1641,1787,1971,2245
 909.6296, 0.110801,0,4,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1072,1090,1108,1135,1162,1198,1235,1271,1316,1361,1415,1478,1541,1596,1668,1812,1993,2263
 911.1111, 0.110801,1,4,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1056,1074,1092,1110,1137,1164,1200,1236,1272,1317,1362,1417,1480,1543,1597,1669,1814,1994,2265
 915.5555, 0.110892,2,4,952,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1060,1078,1096,1114,1141,1168,1204,1240,1276,1321,1366,1421,1484,1547,1601,1673,1817,1998,2268
 902.2222, 0.109525,3,4,939,948,957,966,975,984,994,1003,1012,1021,1030,1039,1048,1067,1085,1103,1130,1158,1194,1231,1267,1313,1359,1414,1477,1541,1596,1669,1815,1998,2272
 908.1482, 0.109560,4,4,945,954,963,972,981,990,999,1009,1018,1027,1036,1045,1054,1072,1091,1109,1136,1164,1200,1237,1273,1319,1365,1419,1483,1547,1602,1675,1821,2003,2277
 911.8518, 0.110168,5,4,948,957,966,975,984,994,1003,1012,1021,1030,1039,1048,1057,1075,1093,1112,1139,1166,1202,1239,1275,1320,1366,1420,1484,1547,1602,1674,1820,2001,2273
 905.1852, 0.110983,6,4,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1067,1085,1103,1130,1157,1194,1230,1266,1311,1356,1410,1473,1536,1590,1662,1806,1986,2257
 914.0740, 0.110312,7,4,950,959,968,978,987,996,1005,1014,1023,1032,1041,1050,1059,1077,1095,1114,1141,1168,1204,1240,1277,1322,1367,1422,1485,1549,1603,1676,1821,2002,2274
 905.1852, 0.109971,8,4,942,951,960,969,978,987,996,1005,1014,1023,1032,1042,1051,1069,1087,1105,1133,1160,1196,1233,1269,1314,1360,1414,1478,1542,1596,1669,1815,1996,2269
 909.6296, 0.110132,9,4,946,955,964,973,982,991,1000,1010,1019,1028,1037,1046,1055,1073,1091,1109,1137,1164,1200,1237,1273,1318,1364,1418,1482,1545,1600,1672,1818,1999,2272
 912.5926, 0.110096,10,4,949,958,967,976,985,994,1003,1013,1022,1031,1040,1049,1058,1076,1094,1112,1140,1167,1203,1240,1276,1321,1367,1421,1485,1548,1603,1676,1821,2003,2275
 908.1482, 0.110204,11,4,944,954,963,972,981,990,999,1008,1017,1026,1035,1044,1053,1071,1090,1108,1135,1162,1199,1235,1271,1316,1362,1416,1480,1543,1598,1670,1816,1997,2269
 905.1852, 0.109971,0,5,942,951,960,969,978,987,996,1005,1014,1023,1032,1042,1051,1069,1087,1105,1133,1160,1196,1233,1269,1314,1360,1414,1478,1542,1596,1669,1815,1996,2269
 902.2222, 0.111959,1,5,938,947,956,965,974,983,992,1000,1009,1018,1027,1036,1045,1063,1081,1099,1126,1152,1188,1224,1259,1304,1349,1402,1465,1527,1581,1652,1795,1974,2242
 904.4445, 0.111111,2,5,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1048,1066,1084,1102,1129,1156,1192,1228,1264,1309,1354,1408,1471,1534,1588,1660,1804,1984,2254
 902.2222, 0.110728,3,5,938,947,956,965,974,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1101,1128,1155,1191,1227,1263,1309,1354,1408,1471,1534,1589,1661,1805,1986,2257
 907.4074, 0.110240,4,5,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1053,1071,1089,1107,1134,1161,1198,1234,1270,1316,1361,1415,1479,1542,1597,1669,1815,1996,2268
 894.8148, 0.111276,5,5,931,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1057,1075,1093,1119,1146,1182,1218,1254,1299,1344,1398,1461,1524,1578,1650,1793,1973,2243
 903.7037, 0.110601,6,5,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1048,1066,1085,1103,1130,1157,1193,1229,1265,1311,1356,1410,1473,1537,1591,1663,1808,1989,2260
 907.4074, 0.109631,7,5,944,953,962,971,980,990,999,1008,1017,1026,1035,1044,1053,1072,1090,1108,1135,1163,1199,1236,1272,1318,1363,1418,1482,1546,1601,1674,1820,2002,2276
 895.5555, 0.109971,8,5,932,941,950,959,968,977,986,996,1005,1014,1023,1032,1041,1059,1077,1096,1123,1150,1187,1223,1259,1305,1350,1405,1468,1532,1587,1659,1805,1987,2260
 898.5185, 0.111148,9,5,935,944,953,961,970,979,988,997,1006,1015,1024,1033,1042,1060,1078,1096,1123,1150,1186,1222,1258,1303,1348,1402,1465,1528,1582,1654,1798,1978,2248
 895.5555, 0.109685,10,5,932,941,950,959,968,978,987,996,1005,1014,1023,1032,1041,1060,1078,1096,1123,1151,1187,1224,1260,1306,1351,1406,1470,1534,1588,1661,1807,1990,2263
 896.2963, 0.111552,11,5,932,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1058,1076,1094,1120,1147,1183,1219,1255,1300,1345,1398,1461,1524,1578,1649,1793,1972,2241
 922.2222, 0.108818,0,6,959,968,977,987,996,1005,1014,1023,1032,1042,1051,1060,1069,1088,1106,1124,1152,1180,1216,1253,1290,1336,1382,1437,1501,1565,1621,1694,1841,2025,2301
 910.3704, 0.110222,1,6,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1056,1074,1092,1110,1137,1164,1201,1237,1273,1319,1364,1418,1482,1545,1600,1672,1818,1999,2271
 916.2963, 0.109276,2,6,953,962,971,980,990,999,1008,1017,1026,1035,1044,1054,1063,1081,1099,1118,1145,1173,1209,1246,1282,1328,1374,1429,1493,1557,1612,1685,1831,2014,2289
 906.6667, 0.109329,3,6,943,952,962,971,980,989,998,1007,1016,1026,1035,1044,1053,1071,1090,1108,1135,1163,1199,1236,1273,1318,1364,1419,1483,1547,1602,1675,1821,2004,2279
 907.4074, 0.109276,4,6,944,953,962,971,981,990,999,1008,1017,1026,1036,1045,1054,1072,1090,1109,1136,1164,1200,1237,1273,1319,1365,1420,1484,1548,1603,1676,1823,2006,2280
 911.8518, 0.110078,5,6,948,957,966,975,985,994,1003,1012,1021,1030,1039,1048,1057,1075,1094,1112,1139,1166,1203,1239,1275,1321,1366,1421,1484,1548,1602,1675,1820,2002,2275
 906.6667, 0.111589,6,6,943,951,960,969,978,987,996,1005,1014,1023,1032,1041,1050,1068,1086,1104,1131,1158,1193,1229,1265,1310,1355,1409,1471,1534,1588,1659,1803,1982,2251
 914.0740, 0.108766,7,6,951,960,969,978,988,997,1006,1015,1024,1034,1043,1052,1061,1080,1098,1116,1144,1172,1208,1245,1282,1328,1374,1429,1493,1558,1613,1686,1833,2017,2293
 913.3333, 0.108748,8,6,950,959,969,978,987,996,1005,1014,1024,1033,1042,1051,1060,1079,1097,1116,1143,1171,1208,1244,1281,1327,1373,1428,1493,1557,1612,1686,1833,2017,2293
 914.0740, 0.109738,9,6,951,960,969,978,987,996,1005,1014,1023,1033,1042,1051,1060,1078,1096,1115,1142,1169,1206,1242,1279,1324,1370,1424,1488,1552,1607,1680,1825,2008,2281
 911.1111, 0.109436,10,6,948,957,966,975,984,993,1002,1012,1021,1030,1039,1048,1057,1076,1094,1112,1140,1167,1204,1240,1277,1322,1368,1423,1487,1551,1606,1679,1825,2008,2282
 905.9260, 0.108382,11,6,943,952,961,971,980,989,998,1007,1017,1026,1035,1044,1054,1072,1090,1109,1137,1164,1201,1238,1275,1321,1367,1423,1487,1552,1607,1681,1829,2013,2290
 902.9630, 0.109454,0,7,940,949,958,967,976,985,994,1003,1013,1022,1031,1040,1049,1067,1086,1104,1131,1159,1195,1232,1268,1314,1360,1415,1479,1543,1597,1670,1817,1999,2273
 898.5185, 0.108713,1,7,935,945,954,963,972,981,991,1000,1009,1018,1027,1036,1046,1064,1082,1101,1128,1156,1193,1230,1266,1312,1358,1414,1478,1542,1598,1671,1818,2002,2278
 911.8518, 0.108626,2,7,949,958,967,976,985,995,1004,1013,1022,1032,1041,1050,1059,1078,1096,1114,1142,1170,1206,1243,1280,1326,1372,1427,1492,1556,1612,1685,1832,2017,2293
 905.1852, 0.108783,3,7,942,951,960,970,979,988,997,1006,1015,1025,1034,1043,1052,1071,1089,1107,1135,1163,1199,1236,1273,1319,1365,1420,1484,1549,1604,1677,1824,2008,2284
 885.9260, 0.107553,4,7,923,932,942,951,960,970,979,988,997,1007,1016,1025,1035,1053,1072,1090,1118,1146,1183,1221,1258,1304,1351,1407,1472,1537,1593,1667,1816,2002,2281
 891.1111, 0.108000,5,7,928,937,947,956,965,974,984,993,1002,1011,1021,1030,1039,1058,1076,1095,1123,1150,1187,1224,1261,1308,1354,1410,1474,1539,1595,1669,1817,2002,2280
 895.5555, 0.108503,6,7,932,942,951,960,969,979,988,997,1006,1015,1025,1034,1043,1061,1080,1098,1126,1154,1190,1227,1264,1310,1356,1412,1476,1541,1596,1670,1817,2002,2278
 899.2593, 0.108052,7,7,936,946,955,964,973,983,992,1001,1010,1020,1029,1038,1047,1066,1084,1103,1131,1158,1195,1232,1269,1316,1362,1418,1482,1547,1603,1677,1825,2010,2287
 897.0370, 0.108626,8,7,934,943,952,961,971,980,989,998,1008,1017,1026,1035,1044,1063,1081,1100,1127,1155,1192,1228,1265,1311,1357,1413,1477,1541,1597,1670,1818,2002,2278
 891.8518, 0.108121,9,7,929,938,947,957,966,975,984,994,1003,1012,1021,1031,1040,1058,1077,1095,1123,1151,1188,1225,1262,1308,1354,1410,1475,1539,1595,1669,1817,2002,2279
 897.0370, 0.108731,10,7,934,943,952,961,971,980,989,998,1007,1017,1026,1035,1044,1063,1081,1099,1127,1155,1191,1228,1265,1311,1357,1412,1476,1541,1596,1670,1817,2001,2277
 901.4815, 0.108889,11,7,938,947,957,966,975,984,993,1003,1012,1021,1030,1039,1048,1067,1085,1104,1131,1159,1195,1232,1269,1315,1361,1416,1480,1544,1599,1673,1820,2004,2279
 900.0000, 0.108329,0,8,937,946,955,965,974,983,992,1002,1011,1020,1029,1038,1048,1066,1085,1103,1131,1158,1195,1232,1269,1315,1362,1417,1482,1546,1602,1675,1823,2008,2285
 892.5926, 0.108208,1,8,930,939,948,957,967,976,985,994,1003,1013,1022,1031,1040,1059,1077,1096,1124,1151,1188,1225,1262,1308,1355,1410,1475,1539,1595,1669,1817,2002,2279
 895.5555, 0.108173,2,8,933,942,951,960,970,979,988,997,1006,1016,1025,1034,1043,1062,1080,1099,1127,1154,1191,1228,1265,1312,1358,1413,1478,1543,1598,1672,1820,2005,2282
 899.2593, 0.108643,3,8,936,945,954,964,973,982,991,1001,1010,1019,1028,1037,1047,1065,1083,1102,1129,1157,1194,1231,1267,1313,1359,1415,1479,1544,1599,1672,1820,2004,2280
 908.8889, 0.107296,4,8,946,955,965,974,983,993,1002,1011,1021,1030,1039,1049,1058,1077,1095,1114,1142,1170,1207,1244,1282,1328,1375,1431,1496,1561,1617,1692,1841,2027,2307
 906.6667, 0.108643,5,8,943,953,962,971,980,990,999,1008,1017,1026,1036,1045,1054,1072,1091,1109,1137,1164,1201,1238,1275,1321,1367,1422,1487,1551,1606,1680,1827,2011,2287
 887.4074, 0.108121,6,8,924,934,943,952,961,971,980,989,998,1008,1017,1026,1035,1054,1072,1091,1119,1146,1183,1220,1257,1304,1350,1405,1470,1535,1590,1664,1812,1997,2275
 897.0370, 0.107433,7,8,934,944,953,962,972,981,990,999,1009,1018,1027,1037,1046,1065,1083,1102,1130,1158,1195,1232,1269,1316,1362,1418,1483,1549,1604,1679,1828,2014,2293
 889.6296, 0.108591,8,8,926,936,945,954,963,973,982,991,1000,1009,1019,1028,1037,1055,1074,1092,1120,1147,1184,1221,1258,1304,1350,1405,1470,1534,1590,1663,1811,1995,2271
 906.6667, 0.108766,9,8,943,953,962,971,980,989,999,1008,1017,1026,1035,1045,1054,1072,1091,1109,1137,1164,1201,1238,1274,1320,1366,1422,1486,1550,1605,1679,1826,2010,2286
 897.0370, 0.108731,10,8,934,943,952,961,971,980,989,998,1007,1017,1026,1035,1044,1063,1081,1099,1127,1155,1191,1228,1265,1311,1357,1412,1476,1541,1596,1670,1817,2001,2277
 890.3704, 0.107948,11,8,927,937,946,955,964,974,983,992,1002,1011,1020,1029,1039,1057,1076,1094,1122,1150,1187,1224,1261,1307,1354,1409,1474,1539,1594,1669,1817,2002,2280
 891.1111, 0.109170,0,9,928,937,946,955,964,974,983,992,1001,1010,1019,1029,1038,1056,1074,1093,1120,1148,1184,1221,1258,1303,1349,1404,1468,1532,1587,1661,1807,1990,2265
 888.8889, 0.107983,1,9,926,935,944,954,963,972,981,991,1000,1009,1019,1028,1037,1056,1074,1093,1120,1148,1185,1222,1259,1306,1352,1407,1472,1537,1593,1667,1815,2000,2278
 891.1111, 0.108347,2,9,928,937,946,956,965,974,983,993,1002,1011,1020,1030,1039,1057,1076,1094,1122,1150,1186,1223,1260,1306,1353,1408,1473,1537,1593,1666,1814,1999,2276
 891.1111, 0.109507,3,9,928,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1055,1074,1092,1119,1147,1183,1220,1256,1302,1348,1402,1466,1530,1585,1658,1804,1987,2261
 892.5926, 0.109170,4,9,929,938,948,957,966,975,984,993,1003,1012,1021,1030,1039,1057,1076,1094,1122,1149,1186,1222,1259,1305,1351,1406,1470,1534,1589,1662,1809,1992,2267
 891.1111, 0.109170,5,9,928,937,946,955,964,974,983,992,1001,1010,1019,1029,1038,1056,1074,1093,1120,1148,1184,1221,1258,1303,1349,1404,1468,1532,1587,1661,1807,1990,2265
 893.3333, 0.108503,6,9,930,939,949,958,967,976,985,995,1004,1013,1022,1032,1041,1059,1078,1096,1124,1151,1188,1225,1262,1308,1354,1409,1474,1538,1594,1668,1815,1999,2276
 890.3704, 0.109241,7,9,927,936,945,954,964,973,982,991,1000,1009,1019,1028,1037,1055,1073,1092,1119,1147,1183,1220,1257,1302,1348,1403,1467,1531,1586,1659,1806,1989,2263
 880.7407, 0.109792,8,9,917,926,935,944,954,963,972,981,990,999,1008,1017,1026,1045,1063,1081,1108,1136,1172,1209,1245,1291,1336,1391,1455,1518,1573,1646,1792,1974,2247
 894.0740, 0.109117,9,9,931,940,949,958,967,977,986,995,1004,1013,1022,1032,1041,1059,1077,1096,1123,1151,1187,1224,1261,1306,1352,1407,1471,1536,1591,1664,1811,1994,2269
 886.6667, 0.109614,10,9,923,932,941,951,960,969,978,987,996,1005,1014,1024,1033,1051,1069,1087,1115,1142,1179,1215,1252,1297,1343,1398,1461,1525,1580,1653,1799,1981,2255
 884.4445, 0.109100,11,9,921,930,939,949,958,967,976,985,994,1004,1013,1022,1031,1049,1068,1086,1114,1141,1178,1214,1251,1297,1343,1398,1462,1526,1581,1654,1801,1984,2259
 917.0370, 0.109347,0,10,954,963,972,981,990,999,1008,1018,1027,1036,1045,1054,1063,1082,1100,1118,1146,1173,1210,1246,1283,1329,1374,1429,1493,1557,1612,1685,1832,2014,2289
 920.7407, 0.109223,1,10,957,967,976,985,994,1003,1012,1021,1031,1040,1049,1058,1067,1086,1104,1122,1150,1177,1214,1250,1287,1333,1379,1433,1498,1562,1617,1690,1836,2019,2294
 914.8148, 0.109756,2,10,951,960,969,979,988,997,1006,1015,1024,1033,1042,1051,1061,1079,1097,1115,1143,1170,1206,1243,1279,1325,1370,1425,1489,1553,1607,1680,1826,2008,2281
