Date : 2026-01-14 17:53:37
Directory : /Users/timkitchens/projects/ai-projects/rag-memory
Total : 395 files,  90342 codes, 6471 comments, 17040 blanks, all 113853 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        298 |     60,149 |      5,021 |     14,468 |     79,638 |
| toml             |          5 |     15,294 |          0 |        758 |     16,052 |
| TypeScript JSX   |         38 |      8,159 |        675 |        752 |      9,586 |
| HTML             |          2 |      2,231 |         35 |        333 |      2,599 |
| YAML             |         24 |      1,677 |        339 |        276 |      2,292 |
| TypeScript       |          8 |      1,664 |        224 |        225 |      2,113 |
| CSS              |          1 |        283 |         24 |         47 |        354 |
| Ini              |          6 |        270 |          0 |         60 |        330 |
| Docker           |          3 |        157 |         62 |         52 |        271 |
| Shell Script     |          3 |        153 |         30 |         30 |        213 |
| SQLite           |          3 |        137 |         47 |         24 |        208 |
| XML              |          1 |        130 |          0 |          0 |        130 |
| Makefile         |          2 |         36 |         14 |         15 |         65 |
| pip requirements |          1 |          2 |          0 |          0 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        395 |     90,342 |      6,471 |     17,040 |    113,853 |
| . (Files)                                                                                                                     |          7 |      7,195 |         56 |        461 |      7,712 |
| backend                                                                                                                       |         28 |      3,107 |        350 |        870 |      4,327 |
| backend (Files)                                                                                                               |          4 |        543 |         57 |        106 |        706 |
| backend/alembic                                                                                                               |          4 |        169 |         28 |         57 |        254 |
| backend/alembic (Files)                                                                                                       |          1 |         55 |         14 |         25 |         94 |
| backend/alembic/versions                                                                                                      |          3 |        114 |         14 |         32 |        160 |
| backend/app                                                                                                                   |         19 |      2,346 |        256 |        688 |      3,290 |
| backend/app (Files)                                                                                                           |          4 |        119 |         21 |         46 |        186 |
| backend/app/rag                                                                                                               |          5 |        767 |         81 |        210 |      1,058 |
| backend/app/rag_agent                                                                                                         |          3 |        245 |         29 |        100 |        374 |
| backend/app/shared                                                                                                            |          4 |        635 |         91 |        185 |        911 |
| backend/app/tools                                                                                                             |          3 |        580 |         34 |        147 |        761 |
| backend/scripts                                                                                                               |          1 |         49 |          9 |         19 |         77 |
| config                                                                                                                        |          4 |         48 |        109 |         34 |        191 |
| deploy                                                                                                                        |         13 |      1,135 |        315 |        235 |      1,685 |
| deploy/alembic                                                                                                                |          7 |        616 |        103 |        176 |        895 |
| deploy/alembic (Files)                                                                                                        |          2 |        178 |         16 |         50 |        244 |
| deploy/alembic/versions                                                                                                       |          5 |        438 |         87 |        126 |        651 |
| deploy/docker                                                                                                                 |          6 |        519 |        212 |         59 |        790 |
| deploy/docker (Files)                                                                                                         |          2 |        111 |         45 |         26 |        182 |
| deploy/docker/compose                                                                                                         |          4 |        408 |        167 |         33 |        608 |
| frontend                                                                                                                      |         50 |     12,359 |        958 |      1,360 |     14,677 |
| frontend (Files)                                                                                                              |          4 |      2,267 |         36 |        338 |      2,641 |
| frontend/src                                                                                                                  |         46 |     10,092 |        922 |      1,022 |     12,036 |
| frontend/src (Files)                                                                                                          |          3 |         40 |          6 |         14 |         60 |
| frontend/src/rag                                                                                                              |         43 |     10,052 |        916 |      1,008 |     11,976 |
| frontend/src/rag (Files)                                                                                                      |          4 |      1,451 |        212 |        202 |      1,865 |
| frontend/src/rag/components                                                                                                   |         37 |      8,135 |        674 |        744 |      9,553 |
| frontend/src/rag/components (Files)                                                                                           |         13 |      3,312 |        264 |        283 |      3,859 |
| frontend/src/rag/components/dashboard                                                                                         |         11 |      1,155 |         84 |         99 |      1,338 |
| frontend/src/rag/components/layout                                                                                            |          5 |        319 |         68 |         44 |        431 |
| frontend/src/rag/components/modals                                                                                            |          4 |      1,844 |        157 |        194 |      2,195 |
| frontend/src/rag/components/views                                                                                             |          2 |      1,021 |         67 |         87 |      1,175 |
| frontend/src/rag/components/visualizations                                                                                    |          2 |        484 |         34 |         37 |        555 |
| frontend/src/rag/styles                                                                                                       |          1 |        283 |         24 |         47 |        354 |
| frontend/src/rag/theme                                                                                                        |          1 |        183 |          6 |         15 |        204 |
| graphiti-patched                                                                                                              |        187 |     35,735 |      1,783 |      6,464 |     43,982 |
| graphiti-patched (Files)                                                                                                      |          8 |      4,276 |         25 |        246 |      4,547 |
| graphiti-patched/examples                                                                                                     |         12 |      1,846 |        302 |        326 |      2,474 |
| graphiti-patched/examples/azure-openai                                                                                        |          1 |        135 |         58 |         33 |        226 |
| graphiti-patched/examples/ecommerce                                                                                           |          1 |         90 |          5 |         29 |        124 |
| graphiti-patched/examples/opentelemetry                                                                                       |          2 |        924 |          0 |         68 |        992 |
| graphiti-patched/examples/podcast                                                                                             |          2 |        194 |          7 |         54 |        255 |
| graphiti-patched/examples/quickstart                                                                                          |          4 |        427 |        209 |        110 |        746 |
| graphiti-patched/examples/wizard_of_oz                                                                                        |          2 |         76 |         23 |         32 |        131 |
| graphiti-patched/graphiti_core                                                                                                |         81 |     13,107 |        440 |      2,707 |     16,254 |
| graphiti-patched/graphiti_core (Files)                                                                                        |         10 |      2,837 |         95 |        561 |      3,493 |
| graphiti-patched/graphiti_core/cross_encoder                                                                                  |          5 |        320 |          9 |         74 |        403 |
| graphiti-patched/graphiti_core/driver                                                                                         |          8 |      1,098 |         68 |        231 |      1,397 |
| graphiti-patched/graphiti_core/driver (Files)                                                                                 |          6 |        880 |         52 |        183 |      1,115 |
| graphiti-patched/graphiti_core/driver/graph_operations                                                                        |          1 |        145 |         15 |         32 |        192 |
| graphiti-patched/graphiti_core/driver/search_interface                                                                        |          1 |         73 |          1 |         16 |         90 |
| graphiti-patched/graphiti_core/embedder                                                                                       |          6 |        331 |         11 |        106 |        448 |
| graphiti-patched/graphiti_core/llm_client                                                                                     |         12 |      1,620 |        103 |        359 |      2,082 |
| graphiti-patched/graphiti_core/migrations                                                                                     |          1 |          0 |          0 |          1 |          1 |
| graphiti-patched/graphiti_core/models                                                                                         |          5 |        563 |          2 |         51 |        616 |
| graphiti-patched/graphiti_core/models (Files)                                                                                 |          1 |          0 |          0 |          1 |          1 |
| graphiti-patched/graphiti_core/models/edges                                                                                   |          2 |        257 |          1 |         24 |        282 |
| graphiti-patched/graphiti_core/models/nodes                                                                                   |          2 |        306 |          1 |         26 |        333 |
| graphiti-patched/graphiti_core/prompts                                                                                        |         13 |      1,250 |          3 |        372 |      1,625 |
| graphiti-patched/graphiti_core/search                                                                                         |          7 |      2,750 |         59 |        418 |      3,227 |
| graphiti-patched/graphiti_core/telemetry                                                                                      |          2 |         79 |         18 |         31 |        128 |
| graphiti-patched/graphiti_core/utils                                                                                          |         12 |      2,259 |         72 |        503 |      2,834 |
| graphiti-patched/graphiti_core/utils (Files)                                                                                  |          4 |        522 |         25 |        113 |        660 |
| graphiti-patched/graphiti_core/utils/maintenance                                                                              |          7 |      1,710 |         47 |        379 |      2,136 |
| graphiti-patched/graphiti_core/utils/ontology_utils                                                                           |          1 |         27 |          0 |         11 |         38 |
| graphiti-patched/images                                                                                                       |          1 |        130 |          0 |          0 |        130 |
| graphiti-patched/mcp_server                                                                                                   |         42 |      8,483 |        512 |      1,501 |     10,496 |
| graphiti-patched/mcp_server (Files)                                                                                           |          3 |      2,913 |          4 |        149 |      3,066 |
| graphiti-patched/mcp_server/config                                                                                            |          4 |        340 |         15 |         62 |        417 |
| graphiti-patched/mcp_server/docker                                                                                            |          7 |        379 |         61 |         65 |        505 |
| graphiti-patched/mcp_server/src                                                                                               |         13 |      1,595 |        159 |        449 |      2,203 |
| graphiti-patched/mcp_server/src (Files)                                                                                       |          2 |        691 |        113 |        163 |        967 |
| graphiti-patched/mcp_server/src/config                                                                                        |          2 |        202 |         13 |         78 |        293 |
| graphiti-patched/mcp_server/src/models                                                                                        |          3 |        208 |          0 |         63 |        271 |
| graphiti-patched/mcp_server/src/services                                                                                      |          3 |        436 |         32 |        124 |        592 |
| graphiti-patched/mcp_server/src/utils                                                                                         |          3 |         58 |          1 |         21 |         80 |
| graphiti-patched/mcp_server/tests                                                                                             |         15 |      3,256 |        273 |        776 |      4,305 |
| graphiti-patched/server                                                                                                       |         13 |      1,422 |          9 |        183 |      1,614 |
| graphiti-patched/server (Files)                                                                                               |          2 |      1,084 |          7 |         66 |      1,157 |
| graphiti-patched/server/graph_service                                                                                         |         11 |        338 |          2 |        117 |        457 |
| graphiti-patched/server/graph_service (Files)                                                                                 |          4 |        125 |          2 |         46 |        173 |
| graphiti-patched/server/graph_service/dto                                                                                     |          4 |         79 |          0 |         28 |        107 |
| graphiti-patched/server/graph_service/routers                                                                                 |          3 |        134 |          0 |         43 |        177 |
| graphiti-patched/tests                                                                                                        |         30 |      6,471 |        495 |      1,501 |      8,467 |
| graphiti-patched/tests (Files)                                                                                                |          7 |      2,835 |        214 |        502 |      3,551 |
| graphiti-patched/tests/cross_encoder                                                                                          |          2 |        288 |         41 |        104 |        433 |
| graphiti-patched/tests/driver                                                                                                 |          2 |        295 |          9 |         91 |        395 |
| graphiti-patched/tests/embedder                                                                                               |          4 |        491 |         52 |        144 |        687 |
| graphiti-patched/tests/evals                                                                                                  |          4 |        201 |          9 |         56 |        266 |
| graphiti-patched/tests/llm_client                                                                                             |          6 |        740 |        106 |        224 |      1,070 |
| graphiti-patched/tests/utils                                                                                                  |          5 |      1,621 |         64 |        380 |      2,065 |
| graphiti-patched/tests/utils/maintenance                                                                                      |          4 |      1,500 |         50 |        351 |      1,901 |
| graphiti-patched/tests/utils/search                                                                                           |          1 |        121 |         14 |         29 |        164 |
| mcp-server                                                                                                                    |         89 |     24,223 |      2,247 |      5,834 |     32,304 |
| mcp-server/src                                                                                                                |         42 |     14,781 |      1,345 |      3,131 |     19,257 |
| mcp-server/src (Files)                                                                                                        |          2 |         87 |         27 |         30 |        144 |
| mcp-server/src/cli_commands                                                                                                   |         13 |      3,326 |        317 |        851 |      4,494 |
| mcp-server/src/cli_commands (Files)                                                                                           |         12 |      3,325 |        317 |        850 |      4,492 |
| mcp-server/src/cli_commands/utils                                                                                             |          1 |          1 |          0 |          1 |          2 |
| mcp-server/src/core                                                                                                           |          9 |      2,029 |        153 |        540 |      2,722 |
| mcp-server/src/ingestion                                                                                                      |          6 |      1,691 |        139 |        314 |      2,144 |
| mcp-server/src/mcp                                                                                                            |          7 |      6,583 |        602 |      1,191 |      8,376 |
| mcp-server/src/retrieval                                                                                                      |          2 |        352 |         24 |         49 |        425 |
| mcp-server/src/unified                                                                                                        |          3 |        713 |         83 |        156 |        952 |
| mcp-server/tests                                                                                                              |         47 |      9,442 |        902 |      2,703 |     13,047 |
| mcp-server/tests (Files)                                                                                                      |          5 |      1,062 |         87 |        240 |      1,389 |
| mcp-server/tests/integration                                                                                                  |         27 |      4,888 |        614 |      1,350 |      6,852 |
| mcp-server/tests/integration (Files)                                                                                          |          2 |        116 |          9 |         28 |        153 |
| mcp-server/tests/integration/backend                                                                                          |          3 |        794 |         83 |        196 |      1,073 |
| mcp-server/tests/integration/cli                                                                                              |          2 |         91 |         17 |         34 |        142 |
| mcp-server/tests/integration/mcp                                                                                              |         14 |      3,052 |        400 |        905 |      4,357 |
| mcp-server/tests/integration/web                                                                                              |          6 |        835 |        105 |        187 |      1,127 |
| mcp-server/tests/unit                                                                                                         |         15 |      3,492 |        201 |      1,113 |      4,806 |
| mcp-server/tests/unit (Files)                                                                                                 |         13 |      3,255 |        190 |      1,051 |      4,496 |
| mcp-server/tests/unit/cli                                                                                                     |          2 |        237 |         11 |         62 |        310 |
| migrations                                                                                                                    |          2 |         49 |         20 |         11 |         80 |
