criteria,manufacturing,distribution,installation,source
gwp,60.4,0.338,0.208,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
adpe,0.00116,0.00105,0,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
pe,1230.1,4.72,5.56,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
