Capacity kW,manufacturing,distribution,installation,B1,B6,End of life,source
172,1.484,1.484,1.616,2.118,1.098,1.484,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
187,1.413,1.413,1.486,2.099,1.054,1.413,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
206,1.283,1.283,1.349,1.906,1.093,1.281,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
227,1.265,1.265,1.224,1.771,1.071,1.266,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
270,1.088,1.088,1.029,1.489,1.104,1.089,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
311,1.214,1.214,1.337,1.414,1.008,1.212,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
346,1.12,1.12,1.202,1.271,1.027,1.119,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOp
380,1.099,1.099,1.095,1.257,1.039,1.099,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
416,1.03,1.03,1.0,1.148,1.035,1.03,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
451,1.132,1.132,1.226,1.142,1.002,1.13,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
484,1.064,1.064,1.143,1.065,1.01,1.063,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
553,1.0,1.0,1.0,1.0,1.0,1.0,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
616,1.004,1.004,1.122,0.898,0.994,1.001,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
677,0.981,0.981,1.021,0.873,0.994,0.98,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
726,0.914,0.914,0.952,0.814,1.017,0.914,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
782,0.978,0.978,1.059,0.804,0.992,0.977,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
807,0.948,0.948,1.026,0.779,0.998,0.946,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
882,0.92,0.92,0.939,0.755,0.996,0.919,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
944,0.859,0.859,0.877,0.706,1.021,0.859,https://register.pep-ecopassport.org/pep/consult/mbesqrsCBZbWbKJq6-kJ3o3pkMQGAxfLujeoybcFM18/mbesqrsCBZbWbKJq6-kJ3lQmBuGvAHsLUfQU9idjOpk
