"Joint","Parent","Child","Type"
"R","BASE","BODY","float"
"Spine_P","BODY","Spine1","revolute"
"Spine_R","Spine1","Spine2","revolute"
"Spine_Y","Spine2","Spine3","revolute"
"Chest","Spine3","Torso","fixed"
"Neck_Y","Torso","Neck1","revolute"
"Neck_P","Neck1","Neck2","revolute"
"Neck_R","Neck2","Neck3","revolute"
"L_Ear","Neck3","L_Ear_link","rev_fix"
"L_Ear_end","L_Ear_link","L_Ear_ref","fixed"
"R_Ear","L_Ear_link","R_Ear_link","rev_fix"
"R_Ear_end","R_Ear_link","R_Ear_ref","fixed"
"L_Eye","L_Ear_link","L_Eye_link","rev_fix"
"L_Eye_end","L_Eye_link","L_Eye_ref","fixed"
"R_Eye","R_Ear_link","R_Eye_link","rev_fix"
"R_Eye_end","R_Eye_link","R_Eye_ref","fixed"
"L_Shoulder_Prism","Torso","L_sblade","prismatic"
"L_Shoulder","L_sblade","L_Arm1","spherical"
"L_Elbow","L_Arm1","L_Arm2","revolute"
"L_Wrist_P","L_Arm2","L_Wrist1","revolute"
"L_Wrist_R","L_Wrist1","L_Wrist2","revolute"
"L_Wrist_Y","L_Wrist2","L_Wrist3","revolute"
"L_hand1","L_Wrist3","L_finger_1","rev_fix"
"L_hand1_end","L_finger_1","L_finger_1_ref","fixed"
"L_hand2","L_Wrist3","L_finger_2","rev_fix"
"L_hand2_end","L_finger_2","L_finger_2_ref","fixed"
"R_Shoulder_Prism","Torso","R_sblade","prismatic"
"R_Shoulder","R_sblade","R_Arm1","spherical"
"R_Elbow","R_Arm1","R_Arm2","revolute"
"R_Wrist_P","R_Arm2","R_Wrist1","revolute"
"R_Wrist_R","R_Wrist1","R_Wrist2","revolute"
"R_Wrist_Y","R_Wrist2","R_Wrist3","revolute"
"R_hand1","R_Wrist3","R_finger_1","rev_fix"
"R_hand1_end","R_finger_1","R_finger_1_ref","fixed"
"R_hand2","R_Wrist3","R_finger_2","rev_fix"
"R_hand2_end","R_finger_2","R_finger_2_ref","fixed"
"L_Hip","BODY","L_Leg1","spherical"
"L_Knee","L_Leg1","L_Leg2","revolute"
"L_Ankle_Y","L_Leg2","L_Leg3","revolute"
"L_Ankle_R","L_Leg3","L_Leg4","revolute"
"L_Ankle_P","L_Leg4","L_Ankle","revolute"
"L_Foot_Pinky_P","L_Ankle","L_Foot","revolute"
"L_BigToe","L_Foot","L_Foot_tip","rev_fix"
"L_Toe","L_Foot_tip","L_Foot_ref","fixed"
"R_Hip","BODY","R_Leg1","spherical"
"R_Knee","R_Leg1","R_Leg2","revolute"
"R_Ankle_Y","R_Leg2","R_Leg3","revolute"
"R_Ankle_R","R_Leg3","R_Leg4","revolute"
"R_Ankle_P","R_Leg4","R_Ankle","revolute"
"R_Foot_Pinky_P","R_Ankle","R_Foot","revolute"
"R_BigToe","R_Foot","R_Foot_tip","rev_fix"
"R_Toe","R_Foot_tip","R_Foot_ref","fixed"
