id,heigth,easting,northing
1,1430.0,150.0,1278.0
2,1410.0,228.0,1182.0
3,1510.0,292.0,1284.0
4,1795.0,409.0,1350.0
5,1743.0,400.0,1268.0
6,1600.0,378.0,1216.0
7,1815.0,460.0,1219.0
8,1897.0,508.0,1318.0
9,1760.0,549.0,1223.0
10,1675.0,623.0,1273.0
11,1591.0,680.0,1328.0
12,1650.0,728.0,1293.0
13,1530.0,860.0,1268.0
14,1730.0,941.0,1390.0
15,1500.0,973.0,1228.0
16,1803.0,992.0,1132.0
17,1400.0,954.0,1130.0
18,1207.0,853.0,1142.0
19,1274.0,794.0,1190.0
20,1508.0,722.0,1183.0
21,1550.0,630.0,1108.0
22,1430.0,541.0,1061.0
23,1600.0,443.0,1062.0
24,1321.0,336.0,1068.0
25,1315.0,222.0,1090.0
26,1440.0,76.0,1120.0
27,1580.0,95.0,1004.0
28,1627.0,205.0,958.0
29,1500.0,340.0,923.0
30,1182.0,508.0,948.0
31,1204.0,612.0,960.0
32,1200.0,729.0,955.0
33,1518.0,772.0,1050.0
34,1070.0,963.0,1031.0
35,1420.0,933.0,945.0
36,1048.0,891.0,845.0
37,993.0,778.0,850.0
38,1310.0,643.0,871.0
39,1611.0,639.0,804.0
40,1400.0,510.0,849.0
41,1500.0,368.0,807.0
42,1930.0,280.0,843.0
43,1602.0,89.0,832.0
44,1628.0,132.0,682.0
45,1700.0,263.0,676.0
46,1530.0,403.0,667.0
47,1420.0,562.0,652.0
48,1100.0,734.0,672.0
49,1438.0,842.0,640.0
50,810.0,992.0,617.0
51,910.0,917.0,543.0
52,1200.0,795.0,531.0
53,1200.0,693.0,562.0
54,1420.0,539.0,538.0
55,1815.0,423.0,492.0
56,1758.0,349.0,563.0
57,1724.0,214.0,526.0
58,1600.0,37.0,537.0
59,1590.0,34.0,441.0
60,1621.0,149.0,463.0
61,1754.0,258.0,393.0
62,2030.0,322.0,422.0
63,1700.0,468.0,353.0
64,1531.0,574.0,390.0
65,1121.0,708.0,429.0
66,870.0,884.0,400.0
67,1250.0,988.0,354.0
68,800.0,972.0,248.0
69,1100.0,880.0,256.0
70,1446.0,783.0,250.0
71,1268.0,683.0,208.0
72,1423.0,549.0,240.0
73,1741.0,356.0,235.0
74,1608.0,191.0,303.0
75,1807.0,181.0,220.0
76,1590.0,102.0,276.0
77,1422.0,48.0,179.0
78,1199.0,93.0,68.0
79,1561.0,190.0,116.0
80,1594.0,297.0,175.0
81,1502.0,338.0,67.0
82,1550.0,446.0,169.0
83,1500.0,453.0,82.0
84,1417.0,605.0,53.0
85,1172.0,741.0,107.0
86,1100.0,854.0,96.0
87,889.0,969.0,42.0
