building_category,building_code,purpose,behaviour_factor,start_year,end_year
residential,default,default,1,2020,
house,PRE_TEK49+TEK69+TEK87+TEK49+TEK97,default,0.85,2020,
house,default,lighting,0.85,2020,
non_residential,default,default,1.15,2020,
retail,default,electrical_equipment,2,2020,
