ID,name,KG_climate,geometry
US-NC3,NC_Clearcut#3,3,POINT (-76.656 35.799)
PE-QFR,Quistococha Forest Reserve,1,POINT (-73.319 -3.8344)
US-Mi3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,4,POINT (-80.637 41.8222)
US-NC4,NC_AlligatorRiver,3,POINT (-75.9038 35.7879)
CA-DB2,Delta Burns Bog 2,3,POINT (-122.9951 49.119)
US-Sne,Sherman Island Restored Wetland,3,POINT (-121.7547 38.0369)
US-Mi1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,4,POINT (-80.6313 41.7727)
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,4,POINT (-90.3004 45.9793)
US-NR1,Niwot Ridge Forest (LTER NWT1),4,POINT (-105.5464 40.0329)
US-Vcp,Valles Caldera Ponderosa Pine,4,POINT (-106.5974 35.8624)
US-xAB,NEON Abby Road (ABBY),3,POINT (-122.3303 45.7624)
US-HBK,Hubbard Brook Experimental Forest,4,POINT (-71.7181 43.9397)
US-EDN,Eden Landing Ecological Reserve,3,POINT (-122.114 37.6156)
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,4,POINT (-90.2406 45.9557)
US-Me6,Metolius Young Pine Burn,4,POINT (-121.6078 44.3233)
US-NC2,NC_Loblolly Plantation,3,POINT (-76.6685 35.803)
US-Whs,Walnut Gulch Lucky Hills Shrub,2,POINT (-110.0522 31.7438)
US-SRM,Santa Rita Mesquite,2,POINT (-110.8661 31.8214)
US-CS1,Central Sands Irrigated Agricultural Field,4,POINT (-89.5379 44.1031)
US-PFs,SE5 Aspen-5 CHEESEHEAD 2019,4,POINT (-90.2382 45.9381)
US-PFg,NE1 Pine-2 CHEESEHEAD 2019,4,POINT (-90.2723 45.9735)
US-Ha1,Harvard Forest EMS Tower (HFR1),4,POINT (-72.1715 42.5378)
US-Ne2,Mead - irrigated maize-soybean rotation site,4,POINT (-96.4701 41.1649)
US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,4,POINT (-90.3099 45.9207)
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,4,POINT (-90.2475 45.9245)
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,4,POINT (-90.3177 45.9409)
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,4,POINT (-90.227 45.9619)
US-CC2,Coloma Corn 2,4,POINT (-89.6196 44.1039)
US-NR3,Niwot Ridge Alpine (T-Van West),5,POINT (-105.5864 40.052)
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,4,POINT (-90.2288 45.9197)
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",4,POINT (-79.9333 44.3167)
PR-xLA,NEON Lajas Experimental Station (LAJA),1,POINT (-67.0769 18.0212)
US-Ne3,Mead - rainfed maize-soybean rotation site,4,POINT (-96.4397 41.1797)
US-PHM,Plum Island High Marsh,4,POINT (-70.8301 42.7423)
US-Tw1,Twitchell Wetland West Pond,3,POINT (-121.6469 38.1074)
US-Hn3,Hanford 100H sagebrush,2,POINT (-119.4614 46.6878)
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,4,POINT (-90.3425 45.9149)
US-CS2,Tri county school Pine Forest,4,POINT (-89.5002 44.1467)
US-ONA,Florida pine flatwoods,3,POINT (-81.9509 27.3836)
US-CC1,Coloma Corn 1,4,POINT (-89.6787 44.0732)
US-Rls,RCEW Low Sagebrush,2,POINT (-116.7356 43.1439)
US-UMd,UMBS Disturbance,4,POINT (-84.6975 45.5625)
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,4,POINT (-90.2475 45.9271)
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,4,POINT (-90.2823 45.9392)
US-HB3,Hobcaw Barony Longleaf Pine Restoration,3,POINT (-79.2322 33.3482)
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",4,POINT (-89.7117 43.3448)
US-Wkg,Walnut Gulch Kendall Grasslands,2,POINT (-109.9419 31.7365)
US-CF1,CAF-LTAR Cook East,4,POINT (-117.0821 46.7815)
US-Ho2,Howland Forest (west tower),4,POINT (-68.747 45.2091)
US-Snf,Sherman Barn,3,POINT (-121.7272 38.0402)
US-Me2,Metolius mature ponderosa pine,4,POINT (-121.5574 44.4523)
US-CF3,CAF-LTAR Boyd North,4,POINT (-117.1261 46.7551)
US-Ne1,Mead - irrigated continuous maize site,4,POINT (-96.4766 41.1651)
US-Ha2,Harvard Forest Hemlock Site,4,POINT (-72.1779 42.5393)
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,3,POINT (-124.9004 49.5346)
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,3,POINT (-82.2188 29.7381)
US-UMB,Univ. of Mich. Biological Station,4,POINT (-84.7138 45.5598)
US-Bi1,Bouldin Island Alfalfa,3,POINT (-121.4993 38.0992)
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,4,POINT (-90.2327 45.9749)
US-CF2,CAF-LTAR Cook West,4,POINT (-117.0908 46.784)
US-KFS,Kansas Field Station,4,POINT (-95.1907 39.0561)
US-CMW,Charleston Mesquite Woodland,2,POINT (-110.1777 31.6637)
US-Ro4,Rosemount Prairie,4,POINT (-93.0723 44.6781)
US-PAS,"Florida, Paspalum notatum pasture",3,POINT (-81.951 27.3944)
US-xYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),4,POINT (-110.5391 44.9535)
US-Los,Lost Creek,4,POINT (-89.9792 46.0827)
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,4,POINT (-90.301 45.9689)
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),4,POINT (-85.3301 42.4423)
US-Syv,Sylvania Wilderness Area,4,POINT (-89.3477 46.242)
US-WCr,Willow Creek,4,POINT (-90.0799 45.8059)
US-Rws,Reynolds Creek Wyoming big sagebrush,2,POINT (-116.7132 43.1675)
US-xJE,NEON Jones Ecological Research Center (JERC),3,POINT (-84.4686 31.1948)
US-SRG,Santa Rita Grassland,2,POINT (-110.8277 31.7894)
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),4,POINT (-105.5824 40.0543)
US-Rms,RCEW Mountain Big Sagebrush,4,POINT (-116.7486 43.0645)
US-NR4,Niwot Ridge Alpine (T-Van East),5,POINT (-105.5859 40.052)
US-xDS,NEON Disney Wilderness Preserve (DSNY),3,POINT (-81.4362 28.125)
US-xJR,NEON Jornada LTER (JORN),2,POINT (-106.8425 32.5907)
US-Bar,Bartlett Experimental Forest,4,POINT (-71.2881 44.0646)
US-ALQ,Allequash Creek Site,4,POINT (-89.6067 46.0308)
US-MMS,Morgan Monroe State Forest,4,POINT (-86.4131 39.3232)
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,4,POINT (-78.0056 40.7536)
US-PFb,NW1 Pine-1 CHEESEHEAD 2019,4,POINT (-90.3232 45.972)
US-xDL,NEON Dead Lake (DELA),3,POINT (-87.8039 32.5417)
US-xPU,NEON Pu'u Maka'ala Natural Area Reserve (PUUM),3,POINT (-155.3173 19.5531)
US-xBL,NEON Blandy Experimental Farm (BLAN),4,POINT (-78.0716 39.0603)
US-xST,NEON Steigerwaldt Land Services (STEI),4,POINT (-89.5864 45.5089)
US-xSB,NEON Ordway-Swisher Biological Station (OSBS),3,POINT (-81.9934 29.6893)
US-xRN,NEON Oak Ridge National Lab (ORNL),3,POINT (-84.2826 35.9641)
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,4,POINT (-77.9998 40.7559)
US-xTR,NEON Treehaven (TREE),4,POINT (-89.5857 45.4937)
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",4,POINT (-105.5459 40.2759)
US-Tw4,Twitchell East End Wetland,3,POINT (-121.6413 38.1027)
US-Bi2,Bouldin Island corn,3,POINT (-121.5351 38.1091)
US-Jo2,Jornada Experimental Range Mixed Shrubland,2,POINT (-106.6032 32.5849)
US-CS5,Central Sands Irrigated Agricultural Field,4,POINT (-89.5377 44.1095)
US-Mpj,Mountainair Pinyon-Juniper Woodland,2,POINT (-106.2377 34.4384)
US-xWR,NEON Wind River Experimental Forest (WREF),3,POINT (-121.9519 45.8205)
US-xUK,NEON The University of Kansas Field Station (UKFS),4,POINT (-95.1921 39.0404)
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),4,POINT (-89.5373 46.2339)
US-xBR,NEON Bartlett Experimental Forest (BART),4,POINT (-71.2873 44.0639)
US-CF4,CAF-LTAR Boyd South,4,POINT (-117.1285 46.7518)
US-xCL,NEON LBJ National Grassland (CLBJ),3,POINT (-97.57 33.4012)
CA-DBB,Delta Burns Bog,3,POINT (-122.9849 49.1293)
US-Hn2,Hanford 100H grassland,2,POINT (-119.4641 46.6889)
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,4,POINT (-90.2641 45.9365)
