,Notation,Unit,History,Sectors,Sfc
ConsumptionDemand,:math:`C_d(t)`,USD,0,Household,"[('Index', 'Household')]"
ConsumptionSupply,:math:`C_s(t)`,USD,0,Household,"[('Inflow', 'Production'), ('Outflow', 'Household')]"
GovernmentDemand,:math:`G_d(t)`,USD,0,Government,"[('Index', 'Government')]"
GovernmentSupply,:math:`G_s(t)`,USD,0,Household,"[('Inflow', 'Production'), ('Outflow', 'Government')]"
TaxDemand,:math:`T_d(t)`,USD,0,Government,"[('Index', 'Government')]"
TaxSupply,:math:`T_s(t)`,USD,0,Household,"[('Outflow', 'Household'), ('Inflow', 'Government')]"
LabourDemand,:math:`N_d(t)`,USD,0,Household,"[('Index', 'Production')]"
LabourSupply,:math:`N_s(t)`,USD,0,Household,"[('Index', 'Household')]"
LabourEarnings,:math:`W(t)\cdot N_s(t)`,USD,0,Household,"[('Inflow', 'Household'), ('Outflow', 'Production')]"
DisposableIncome,:math:`YD(t)`,USD,0,Household,"[('Index', 'Household')]"
Wages,:math:`W(t)`,USD,0,Household,"[('Index', 'Household')]"
GovernmentMoneyStock,:math:`H_s(t)`,USD,0,Government,"[('Liability', 'Government')]"
HouseholdMoneyStock,:math:`H_h(t)`,USD,0,Household,"[('Asset', 'Household')]"
NationalIncome,:math:`Y(t)`,USD,0,Macroeconomy,"[('Index', 'Macroeconomy')]"
